S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,279,2081,22003,11386,6733,40122,16.5
2,BALLARI,1668,708,4554,55098,28606,12936,96640,42.45
3,BELAGAVI,1780,8,23,381,270,186,837,0.45
4,BELAGAVI CHIKKODI,2253,27,116,2507,1256,320,4083,1.2
5,BENGALURU RURAL,1217,636,1931,17913,11706,7735,37354,52.26
6,BENGALURU U NORTH,844,556,2664,35780,22570,12796,71146,65.88
7,BENGALURU U SOUTH,1347,540,2575,36607,21153,11181,68941,40.09
8,BIDAR,1769,670,3767,39366,23539,13705,76610,37.87
9,CHAMARAJANAGARA,934,491,1798,22163,13707,9187,45057,52.57
10,CHIKKABALLAPURA,1664,873,2636,26380,16443,10756,53579,52.46
11,CHIKKAMAGALURU,1635,25,76,662,226,60,948,1.53
12,CHITRADURGA,2039,1651,6201,71214,41109,25333,137656,80.97
13,DAKSHINA KANNADA,1421,26,101,875,584,437,1896,1.83
14,DAVANAGERE,1846,995,4550,51868,28898,17830,98596,53.9
15,DHARWAD,1076,509,3321,41149,23267,13351,77767,47.3
16,GADAG,887,0,0,0,0,0,0,0
17,HASSAN,2720,42,141,1868,740,613,3221,1.54
18,HAVERI,1519,25,116,1187,821,715,2723,1.65
19,KALABURGI,2180,460,2687,34697,15062,2413,52172,21.1
20,KODAGU,499,1,2,22,0,0,22,0.2
21,KOLAR,2039,75,255,1935,1272,967,4174,3.68
22,KOPPAL,1151,296,1514,29434,13528,5813,48775,25.72
23,MANDYA,2006,18,54,848,311,0,1159,0.9
24,MYSURU,2399,36,150,1410,645,469,2524,1.5
25,RAICHUR,1727,17,84,1345,647,470,2462,0.98
26,RAMANAGARA,1466,486,1460,14227,8585,6388,29200,33.15
27,SHIVAMOGGA,2257,43,147,1268,803,530,2601,1.91
28,TUMAKURU,2429,17,49,468,250,72,790,0.7
29,TUMAKURU MADHUGIRI,1477,39,116,1369,800,449,2618,2.64
30,UDUPI,967,446,1771,18901,12793,8344,40038,46.12
31,UTTARA KANNADA,1102,436,1493,9410,7030,6275,22715,39.56
32,UTTARA KANNADA SIRSI,1278,312,918,9356,5188,2777,17321,24.41
33,VIJAYAPURA,2317,498,2384,33920,17056,6729,57705,21.49
34,YADAGIRI,1096,26,90,1908,515,144,2567,2.37
