S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1042,5166,79264,41547,20782,141593,61.62
2,BALLARI,1668,888,4594,71901,36479,16574,124954,53.24
3,BELAGAVI,1780,695,4064,49518,25335,9998,84851,39.04
4,BELAGAVI CHIKKODI,2253,1555,6960,121466,65456,35879,222801,69.02
5,BENGALURU RURAL,1217,811,2463,22642,13959,9383,45984,66.64
6,BENGALURU U NORTH,844,631,2870,40086,24938,13995,79019,74.76
7,BENGALURU U SOUTH,1347,677,3128,45778,25791,11924,83493,50.26
8,BIDAR,1769,705,4141,38493,22971,13480,74944,39.85
9,CHAMARAJANAGARA,934,549,2003,25994,15152,9736,50882,58.78
10,CHIKKABALLAPURA,1664,948,2734,28742,16534,10001,55277,56.97
11,CHIKKAMAGALURU,1635,614,1871,16676,9090,5635,31401,37.55
12,CHITRADURGA,2039,1754,6538,75098,42863,26527,144488,86.02
13,DAKSHINA KANNADA,1421,723,3911,36696,26434,21704,84834,50.88
14,DAVANAGERE,1846,1188,5409,63256,34677,19579,117512,64.36
15,DHARWAD,1076,580,3470,47202,26601,14153,87956,53.9
16,GADAG,887,82,497,6438,3150,1224,10812,9.24
17,HASSAN,2720,1878,6827,46169,27638,19480,93287,69.04
18,HAVERI,1519,949,4583,62160,34494,18354,115008,62.48
19,KALABURGI,2180,580,2258,41414,18203,2645,62262,26.61
20,KODAGU,499,8,31,99,145,228,472,1.6
21,KOLAR,2039,918,2795,25305,15970,10148,51423,45.02
22,KOPPAL,1151,370,1813,35797,16589,6146,58532,32.15
23,MANDYA,2006,855,2649,27657,17093,10393,55143,42.62
24,MYSURU,2399,856,3378,41990,26235,16430,84655,35.68
25,RAICHUR,1727,555,2284,44929,18614,5336,68879,32.14
26,RAMANAGARA,1466,619,1801,17431,9620,6581,33632,42.22
27,SHIVAMOGGA,2257,1439,5681,48091,31075,20936,100102,63.76
28,TUMAKURU,2429,478,1871,14712,10279,5876,30867,19.68
29,TUMAKURU MADHUGIRI,1477,628,1838,20137,9786,6003,35926,42.52
30,UDUPI,967,644,2827,25154,17831,12948,55933,66.6
31,UTTARA KANNADA,1102,512,1723,12441,8278,5712,26431,46.46
32,UTTARA KANNADA SIRSI,1278,483,1468,16363,8976,5415,30754,37.79
33,VIJAYAPURA,2317,585,2986,40073,18450,6590,65113,25.25
34,YADAGIRI,1096,25,85,1953,494,404,2851,2.28
