S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1152,5460,89594,45736,21438,156768,68.13
2,BALLARI,1668,914,5012,71836,36264,16421,124521,54.8
3,BELAGAVI,1780,1081,4999,74286,39952,18508,132746,60.73
4,BELAGAVI CHIKKODI,2253,1708,7944,134630,71762,38687,245079,75.81
5,BENGALURU RURAL,1217,797,2304,23581,13927,8312,45820,65.49
6,BENGALURU U NORTH,844,1,5,121,61,0,182,0.12
7,BENGALURU U SOUTH,1347,633,2542,38798,20248,9155,68201,46.99
8,BIDAR,1769,683,3324,36537,21805,13633,71975,38.61
9,CHAMARAJANAGARA,934,479,1586,18383,11846,8259,38488,51.28
10,CHIKKABALLAPURA,1664,948,3342,29201,17248,10507,56956,56.97
11,CHIKKAMAGALURU,1635,763,2013,19151,9847,5734,34732,46.67
12,CHITRADURGA,2039,1734,6250,74739,44131,24871,143741,85.04
13,DAKSHINA KANNADA,1421,810,3630,34801,24776,18882,78459,57
14,DAVANAGERE,1846,1249,5637,64902,35931,20921,121754,67.66
15,DHARWAD,1076,512,3074,42003,22603,10748,75354,47.58
16,GADAG,887,151,1231,12837,6203,2071,21111,17.02
17,HASSAN,2720,2122,6245,49153,29335,22341,100829,78.01
18,HAVERI,1519,1006,5070,66495,36202,18614,121311,66.23
19,KALABURGI,2180,547,2231,39086,17719,3897,60702,25.09
20,KODAGU,499,198,696,5674,3819,3304,12797,39.68
21,KOLAR,2039,1152,3176,33134,18020,9374,60528,56.5
22,KOPPAL,1151,362,1780,34152,15841,5477,55470,31.45
23,MANDYA,2006,954,2878,28671,19211,14055,61937,47.56
24,MYSURU,2399,962,3578,44421,24438,14745,83604,40.1
25,RAICHUR,1727,580,3096,44287,17470,5882,67639,33.58
26,RAMANAGARA,1466,597,1677,17355,9368,6445,33168,40.72
27,SHIVAMOGGA,2257,1575,5110,51154,29833,17806,98793,69.78
28,TUMAKURU,2429,914,2801,28429,15608,9395,53432,37.63
29,TUMAKURU MADHUGIRI,1477,709,2065,22604,11970,6745,41319,48
30,UDUPI,967,763,3335,28089,18588,12910,59587,78.9
31,UTTARA KANNADA,1102,485,1529,11876,6724,4762,23362,44.01
32,UTTARA KANNADA SIRSI,1278,492,1488,17644,8986,4182,30812,38.5
33,VIJAYAPURA,2317,642,2657,41423,18819,7549,67791,27.71
34,YADAGIRI,1096,23,69,1943,625,460,3028,2.1
