S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1147,5369,88438,44637,22196,155271,67.83
2,BALLARI,1668,894,5664,70365,34759,15913,121037,53.6
3,BELAGAVI,1780,967,4364,66830,35938,17054,119822,54.33
4,BELAGAVI CHIKKODI,2253,1693,7264,132899,70822,38473,242194,75.14
5,BENGALURU RURAL,1217,833,2290,23486,13864,8513,45863,68.45
6,BENGALURU U NORTH,844,2,3,147,61,0,208,0.24
7,BENGALURU U SOUTH,1347,680,2693,42396,22832,11288,76516,50.48
8,BIDAR,1769,733,3433,38781,22350,13957,75088,41.44
9,CHAMARAJANAGARA,934,507,1681,21381,12931,9141,43453,54.28
10,CHIKKABALLAPURA,1664,992,2921,30983,18381,10896,60260,59.62
11,CHIKKAMAGALURU,1635,729,2019,17992,10309,7260,35561,44.59
12,CHITRADURGA,2039,1775,5928,72336,41967,26428,140731,87.05
13,DAKSHINA KANNADA,1421,762,2894,33954,24428,19102,77484,53.62
14,DAVANAGERE,1846,1079,4350,61488,27335,6825,95648,58.45
15,DHARWAD,1076,576,3378,47885,26005,12144,86034,53.53
16,GADAG,887,113,622,9520,4612,1955,16087,12.74
17,HASSAN,2720,2013,5836,47343,27425,20982,95750,74.01
18,HAVERI,1519,948,4207,62521,34480,17330,114331,62.41
19,KALABURGI,2180,580,2236,42450,18775,3548,64773,26.61
20,KODAGU,499,184,687,5104,3532,2969,11605,36.87
21,KOLAR,2039,1136,3276,34314,18931,11830,65075,55.71
22,KOPPAL,1151,384,1783,36808,16991,6096,59895,33.36
23,MANDYA,2006,963,2990,29462,17870,11937,59269,48.01
24,MYSURU,2399,986,3649,46108,26945,16675,89728,41.1
25,RAICHUR,1727,610,2309,46682,18559,5972,71213,35.32
26,RAMANAGARA,1466,623,1842,17307,9624,6499,33430,42.5
27,SHIVAMOGGA,2257,1598,5317,52140,31877,21170,105187,70.8
28,TUMAKURU,2429,778,2261,22152,13377,7591,43120,32.03
29,TUMAKURU MADHUGIRI,1477,666,1756,21925,9858,5560,37343,45.09
30,UDUPI,967,775,2879,29161,19420,13833,62414,80.14
31,UTTARA KANNADA,1102,508,1608,12657,8050,6648,27355,46.1
32,UTTARA KANNADA SIRSI,1278,507,1624,19011,10362,4879,34252,39.67
33,VIJAYAPURA,2317,537,2569,35958,16453,5804,58215,23.18
34,YADAGIRI,1096,23,73,1849,484,248,2581,2.1
