S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,963,5712,73951,37605,17536,129092,56.95
2,BALLARI,1668,824,4236,67501,34073,14826,116400,49.4
3,BELAGAVI,1780,671,3337,46098,25084,10653,81835,37.7
4,BELAGAVI CHIKKODI,2253,1362,6130,107259,58351,32466,198076,60.45
5,BENGALURU RURAL,1217,786,2387,21225,13921,9479,44625,64.59
6,BENGALURU U NORTH,844,585,2768,37312,23082,14108,74502,69.31
7,BENGALURU U SOUTH,1347,650,3455,44093,24515,11283,79891,48.26
8,BIDAR,1769,719,3690,41429,22896,13744,78069,40.64
9,CHAMARAJANAGARA,934,551,2425,25063,14870,8918,48851,58.99
10,CHIKKABALLAPURA,1664,936,2784,28255,16814,10778,55847,56.25
11,CHIKKAMAGALURU,1635,518,1700,14741,7812,4569,27122,31.68
12,CHITRADURGA,2039,1632,5902,71569,40198,24774,136541,80.04
13,DAKSHINA KANNADA,1421,628,3321,32094,23776,20353,76223,44.19
14,DAVANAGERE,1846,1093,4978,56226,31801,18878,106905,59.21
15,DHARWAD,1076,557,3470,44856,25756,14364,84976,51.77
16,GADAG,887,71,443,6427,2899,708,10034,8
17,HASSAN,2720,1790,5527,44055,25481,18709,88245,65.81
18,HAVERI,1519,924,4657,61671,34497,18463,114631,60.83
19,KALABURGI,2180,550,2331,41384,17991,2199,61574,25.23
20,KODAGU,499,9,39,112,177,312,601,1.8
21,KOLAR,2039,744,2239,20055,12102,7891,40048,36.49
22,KOPPAL,1151,342,1676,33271,15419,6427,55117,29.71
23,MANDYA,2006,770,2309,25397,15700,10806,51903,38.38
24,MYSURU,2399,710,2895,36562,23309,14664,74535,29.6
25,RAICHUR,1727,548,2313,45616,18649,4991,69256,31.73
26,RAMANAGARA,1466,603,1731,16997,9700,6329,33026,41.13
27,SHIVAMOGGA,2257,1306,5562,45161,28103,21190,94454,57.86
28,TUMAKURU,2429,403,1326,11265,8354,5880,25499,16.59
29,TUMAKURU MADHUGIRI,1477,518,1605,16285,8249,5490,30024,35.07
30,UDUPI,967,571,2442,22813,16308,11506,50627,59.05
31,UTTARA KANNADA,1102,504,1707,11808,8161,5968,25937,45.74
32,UTTARA KANNADA SIRSI,1278,461,1420,16554,10014,3935,30503,36.07
33,VIJAYAPURA,2317,544,2593,37976,18380,6753,63109,23.48
34,YADAGIRI,1096,26,87,1704,416,462,2582,2.37
