S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,21,126,1590,841,613,3044,1.24
2,BALLARI,1668,306,1582,22091,11562,6122,39775,18.35
3,BELAGAVI,1780,4,29,397,296,89,782,0.22
4,BELAGAVI CHIKKODI,2253,17,87,1499,795,74,2368,0.75
5,BENGALURU RURAL,1217,468,1562,13253,8331,3715,25299,38.46
6,BENGALURU U NORTH,844,536,2810,33869,21067,12069,67005,63.51
7,BENGALURU U SOUTH,1347,412,2034,26952,16303,9465,52720,30.59
8,BIDAR,1769,569,3188,33184,19080,10763,63027,32.17
9,CHAMARAJANAGARA,934,431,2411,18646,11735,8502,38883,46.15
10,CHIKKABALLAPURA,1664,753,2501,23626,14659,10412,48697,45.25
11,CHIKKAMAGALURU,1635,11,37,319,144,0,463,0.67
12,CHITRADURGA,2039,1572,6826,67409,38739,23263,129411,77.1
13,DAKSHINA KANNADA,1421,19,70,591,391,240,1222,1.34
14,DAVANAGERE,1846,909,4153,45935,26068,15956,87959,49.24
15,DHARWAD,1076,492,4655,40471,21814,11621,73906,45.72
16,GADAG,887,2,14,315,132,0,447,0.23
17,HASSAN,2720,33,91,849,550,213,1612,1.21
18,HAVERI,1519,17,83,545,534,815,1894,1.12
19,KALABURGI,2180,345,1487,25538,10875,1920,38333,15.83
20,KODAGU,499,4,21,37,66,200,303,0.8
21,KOLAR,2039,6,19,139,123,0,262,0.29
22,KOPPAL,1151,288,2372,27796,12514,5593,45903,25.02
23,MANDYA,2006,19,53,589,340,110,1039,0.95
24,MYSURU,2399,21,108,649,365,463,1477,0.88
25,RAICHUR,1727,3,6,133,0,0,133,0.17
26,RAMANAGARA,1466,443,1369,12884,7298,5032,25214,30.22
27,SHIVAMOGGA,2257,33,114,941,702,362,2005,1.46
28,TUMAKURU,2429,12,43,402,347,72,821,0.49
29,TUMAKURU MADHUGIRI,1477,40,97,1123,599,214,1936,2.71
30,UDUPI,967,426,1830,17471,11848,8549,37868,44.05
31,UTTARA KANNADA,1102,351,1271,8283,5080,3547,16910,31.85
32,UTTARA KANNADA SIRSI,1278,218,705,6173,3919,2298,12390,17.06
33,VIJAYAPURA,2317,432,2114,29814,14381,5705,49900,18.64
34,YADAGIRI,1096,18,54,1335,281,87,1703,1.64
