S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,914,4764,69941,35150,17119,122210,54.05
2,BALLARI,1668,798,3668,61981,30977,13334,106292,47.84
3,BELAGAVI,1780,539,2630,34809,19915,10159,64883,30.28
4,BELAGAVI CHIKKODI,2253,1308,5584,98891,52902,29510,181303,58.06
5,BENGALURU RURAL,1217,696,1837,18299,11562,8081,37942,57.19
6,BENGALURU U NORTH,844,538,2290,30938,20731,12492,64161,63.74
7,BENGALURU U SOUTH,1347,640,3956,40538,22906,10537,73981,47.51
8,BIDAR,1769,687,3209,38294,21521,12339,72154,38.84
9,CHAMARAJANAGARA,934,531,2199,24498,14521,9357,48376,56.85
10,CHIKKABALLAPURA,1664,894,2432,27516,16740,11171,55427,53.73
11,CHIKKAMAGALURU,1635,406,1206,11188,5980,4016,21184,24.83
12,CHITRADURGA,2039,1749,5617,75177,42061,26320,143558,85.78
13,DAKSHINA KANNADA,1421,600,3300,29400,22187,19118,70705,42.22
14,DAVANAGERE,1846,1079,4192,56015,30425,17818,104258,58.45
15,DHARWAD,1076,583,3266,46403,25248,13190,84841,54.18
16,GADAG,887,11,63,1151,457,86,1694,1.24
17,HASSAN,2720,1772,4717,41283,25115,18278,84676,65.15
18,HAVERI,1519,902,4876,60138,33245,17033,110416,59.38
19,KALABURGI,2180,473,2258,34669,15193,2127,51989,21.7
20,KODAGU,499,7,11,27,113,215,355,1.4
21,KOLAR,2039,675,1900,18439,12174,7226,37839,33.1
22,KOPPAL,1151,319,1551,31108,14070,6191,51369,27.72
23,MANDYA,2006,732,1971,23746,15033,10679,49458,36.49
24,MYSURU,2399,683,2306,31726,21204,13796,66726,28.47
25,RAICHUR,1727,539,2192,43494,17515,4520,65529,31.21
26,RAMANAGARA,1466,599,1523,16315,9402,6118,31835,40.86
27,SHIVAMOGGA,2257,1261,4034,43200,27006,18695,88901,55.87
28,TUMAKURU,2429,313,934,9194,7789,5228,22211,12.89
29,TUMAKURU MADHUGIRI,1477,505,1396,15379,8554,5238,29171,34.19
30,UDUPI,967,486,1793,19642,13217,9541,42400,50.26
31,UTTARA KANNADA,1102,437,1323,9657,6822,5455,21934,39.66
32,UTTARA KANNADA SIRSI,1278,426,1244,15137,8191,3145,26473,33.33
33,VIJAYAPURA,2317,513,2108,31441,14997,7220,53658,22.14
34,YADAGIRI,1096,27,117,2470,677,403,3550,2.46
