S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,681,1690,23699,12656,7975,44330,40.27
2,BALLARI,1668,895,4774,70443,34561,16336,121340,53.66
3,BELAGAVI,1780,960,4041,59488,32403,15732,107623,53.93
4,BELAGAVI CHIKKODI,2253,1578,6153,113829,61621,35101,210551,70.04
5,BENGALURU RURAL,1217,815,2181,22853,13993,8942,45788,66.97
6,BENGALURU U NORTH,844,5,19,366,149,47,562,0.59
7,BENGALURU U SOUTH,1347,668,2570,41736,22158,10771,74665,49.59
8,BIDAR,1769,302,1338,13685,8365,5397,27447,17.07
9,CHAMARAJANAGARA,934,519,1577,20842,12817,8590,42249,55.57
10,CHIKKABALLAPURA,1664,959,2637,29160,17480,11114,57754,57.63
11,CHIKKAMAGALURU,1635,761,2080,19307,10566,6547,36420,46.54
12,CHITRADURGA,2039,1762,5725,75212,43012,25857,144081,86.41
13,DAKSHINA KANNADA,1421,798,2966,35079,24900,19876,79855,56.16
14,DAVANAGERE,1846,1252,5060,65960,36123,20576,122659,67.82
15,DHARWAD,1076,498,3888,39478,21540,10670,71688,46.28
16,GADAG,887,54,236,4247,1573,437,6257,6.09
17,HASSAN,2720,2103,6121,48494,29326,22202,100022,77.32
18,HAVERI,1519,1029,4422,67954,37240,19499,124693,67.74
19,KALABURGI,2180,95,351,5544,2579,507,8630,4.36
20,KODAGU,499,197,743,6143,3965,2913,13021,39.48
21,KOLAR,2039,1184,3297,34414,18944,12187,65545,58.07
22,KOPPAL,1151,136,599,11780,4793,1452,18025,11.82
23,MANDYA,2006,852,2362,25656,16863,13040,55559,42.47
24,MYSURU,2399,1003,3569,48512,28525,16952,93989,41.81
25,RAICHUR,1727,262,1204,17382,7292,2797,27471,15.17
26,RAMANAGARA,1466,630,1643,17273,9765,6425,33463,42.97
27,SHIVAMOGGA,2257,1582,4757,52372,30329,19281,101982,70.09
28,TUMAKURU,2429,883,2426,25145,14233,10790,50168,36.35
29,TUMAKURU MADHUGIRI,1477,701,1883,22639,11829,6323,40791,47.46
30,UDUPI,967,717,2655,26892,18187,13070,58149,74.15
31,UTTARA KANNADA,1102,502,1637,12432,8253,6791,27476,45.55
32,UTTARA KANNADA SIRSI,1278,529,2123,20274,11097,5081,36452,41.39
33,VIJAYAPURA,2317,98,364,4413,2528,1111,8052,4.23
34,YADAGIRI,1096,12,39,889,398,218,1505,1.09
