S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,23,67,999,517,211,1727,1.36
2,BALLARI,1668,16,63,612,387,715,1714,0.96
3,BELAGAVI,1780,42,141,2247,1472,290,4009,2.36
4,BELAGAVI CHIKKODI,2253,36,111,1883,917,127,2927,1.6
5,BENGALURU RURAL,1217,36,92,721,319,49,1089,2.96
6,BENGALURU U NORTH,844,22,112,833,567,642,2042,2.61
7,BENGALURU U SOUTH,1347,24,75,763,525,790,2078,1.78
8,BIDAR,1769,20,124,2156,1329,776,4261,1.13
9,CHAMARAJANAGARA,934,17,57,543,318,385,1246,1.82
10,CHIKKABALLAPURA,1664,52,139,1129,773,1056,2958,3.12
11,CHIKKAMAGALURU,1635,16,47,472,348,139,959,0.98
12,CHITRADURGA,2039,85,244,1992,928,444,3364,4.17
13,DAKSHINA KANNADA,1421,9,36,352,262,161,775,0.63
14,DAVANAGERE,1846,168,671,7333,3850,2696,13879,9.1
15,DHARWAD,1076,29,234,2274,1182,704,4160,2.7
16,GADAG,887,1,9,136,74,0,210,0.11
17,HASSAN,2720,29,70,522,233,156,911,1.07
18,HAVERI,1519,35,141,1390,725,591,2706,2.3
19,KALABURGI,2180,14,57,649,460,503,1612,0.64
20,KODAGU,499,0,0,0,0,0,0,0
21,KOLAR,2039,40,125,1448,814,116,2378,1.96
22,KOPPAL,1151,11,47,1157,488,0,1645,0.96
23,MANDYA,2006,10,21,154,71,103,328,0.5
24,MYSURU,2399,22,56,805,238,59,1102,0.92
25,RAICHUR,1727,12,30,755,228,103,1086,0.69
26,RAMANAGARA,1466,20,77,1496,451,132,2079,1.36
27,SHIVAMOGGA,2257,35,103,971,883,809,2663,1.55
28,TUMAKURU,2429,19,30,185,86,54,325,0.78
29,TUMAKURU MADHUGIRI,1477,80,226,2358,843,296,3497,5.42
30,UDUPI,967,17,65,447,282,285,1014,1.76
31,UTTARA KANNADA,1102,18,53,277,249,244,770,1.63
32,UTTARA KANNADA SIRSI,1278,8,24,74,105,442,621,0.63
33,VIJAYAPURA,2317,22,101,1183,600,552,2335,0.95
34,YADAGIRI,1096,2,11,81,0,0,81,0.18
