S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1135,5765,85937,43591,22392,151920,67.12
2,BALLARI,1668,935,5439,73788,37094,16842,127724,56.06
3,BELAGAVI,1780,1060,4516,74316,40031,18675,133022,59.55
4,BELAGAVI CHIKKODI,2253,1690,6933,132831,71164,40353,244348,75.01
5,BENGALURU RURAL,1217,829,2191,23420,14769,9058,47247,68.12
6,BENGALURU U NORTH,844,11,51,846,427,121,1394,1.3
7,BENGALURU U SOUTH,1347,643,2461,39515,21140,11249,71904,47.74
8,BIDAR,1769,718,3170,38307,22736,13624,74667,40.59
9,CHAMARAJANAGARA,934,494,1923,19490,11773,8029,39292,52.89
10,CHIKKABALLAPURA,1664,985,2628,30815,18086,10378,59279,59.19
11,CHIKKAMAGALURU,1635,756,1942,18443,10077,6277,34797,46.24
12,CHITRADURGA,2039,1766,5658,74580,44550,25505,144635,86.61
13,DAKSHINA KANNADA,1421,834,3042,35753,25964,19710,81427,58.69
14,DAVANAGERE,1846,1264,5029,65432,35787,20526,121745,68.47
15,DHARWAD,1076,554,4266,45488,24324,11951,81763,51.49
16,GADAG,887,154,799,13057,5942,2149,21148,17.36
17,HASSAN,2720,2088,5645,47312,27950,22534,97796,76.76
18,HAVERI,1519,1018,4383,66772,37035,19713,123520,67.02
19,KALABURGI,2180,583,2101,40356,18422,3819,62597,26.74
20,KODAGU,499,191,641,5752,3579,3067,12398,38.28
21,KOLAR,2039,1189,3227,33449,19607,12062,65118,58.31
22,KOPPAL,1151,383,1721,36053,16454,6228,58735,33.28
23,MANDYA,2006,974,2528,29796,18801,12721,61318,48.55
24,MYSURU,2399,952,3319,44448,25433,15399,85280,39.68
25,RAICHUR,1727,587,2836,44015,17625,6135,67775,33.99
26,RAMANAGARA,1466,615,1594,17644,9865,6440,33949,41.95
27,SHIVAMOGGA,2257,1586,4633,50391,30096,19652,100139,70.27
28,TUMAKURU,2429,922,3127,25047,15524,10059,50630,37.96
29,TUMAKURU MADHUGIRI,1477,676,2386,21281,11973,6441,39695,45.77
30,UDUPI,967,782,2761,30192,19418,13049,62659,80.87
31,UTTARA KANNADA,1102,500,1483,12576,7805,6398,26779,45.37
32,UTTARA KANNADA SIRSI,1278,519,2023,20033,10656,4526,35215,40.61
33,VIJAYAPURA,2317,624,2605,40228,18331,6368,64927,26.93
34,YADAGIRI,1096,28,90,2472,700,313,3485,2.55
