S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1134,5228,85067,43714,21468,150249,67.06
2,BALLARI,1668,886,4237,68743,35185,17400,121328,53.12
3,BELAGAVI,1780,1050,4777,72852,39827,18919,131598,58.99
4,BELAGAVI CHIKKODI,2253,1668,8536,129897,70057,38637,238591,74.03
5,BENGALURU RURAL,1217,841,2321,22796,14400,9655,46851,69.1
6,BENGALURU U NORTH,844,4,20,244,203,286,733,0.47
7,BENGALURU U SOUTH,1347,673,2638,41752,22310,11053,75115,49.96
8,BIDAR,1769,532,2459,27930,16388,9460,53778,30.07
9,CHAMARAJANAGARA,934,517,1699,21244,13557,9015,43816,55.35
10,CHIKKABALLAPURA,1664,967,2817,29984,18085,10675,58744,58.11
11,CHIKKAMAGALURU,1635,760,2022,18792,9992,6670,35454,46.48
12,CHITRADURGA,2039,1767,5827,73535,43606,27104,144245,86.66
13,DAKSHINA KANNADA,1421,777,3554,33473,24370,19444,77287,54.68
14,DAVANAGERE,1846,1244,5336,65094,35876,21394,122364,67.39
15,DHARWAD,1076,581,3754,49447,25638,11968,87053,54
16,GADAG,887,137,729,11095,5059,1947,18101,15.45
17,HASSAN,2720,2076,6108,47672,28797,21668,98137,76.32
18,HAVERI,1519,1033,4514,67089,37506,19767,124362,68.01
19,KALABURGI,2180,575,2216,39319,17691,3429,60439,26.38
20,KODAGU,499,192,690,5555,3769,3184,12508,38.48
21,KOLAR,2039,1189,3411,34251,20368,11509,66128,58.31
22,KOPPAL,1151,389,1844,36344,16435,6242,59021,33.8
23,MANDYA,2006,985,2794,29769,19015,13308,62092,49.1
24,MYSURU,2399,1018,3707,48730,28299,16248,93277,42.43
25,RAICHUR,1727,609,2281,44798,18288,6392,69478,35.26
26,RAMANAGARA,1466,617,1712,16415,9795,6787,32997,42.09
27,SHIVAMOGGA,2257,1622,5474,54213,31958,19864,106035,71.87
28,TUMAKURU,2429,847,2404,23064,15040,9819,47923,34.87
29,TUMAKURU MADHUGIRI,1477,706,1936,22641,11776,6866,41283,47.8
30,UDUPI,967,783,2911,29369,19465,13035,61869,80.97
31,UTTARA KANNADA,1102,497,1583,12815,7814,6368,26997,45.1
32,UTTARA KANNADA SIRSI,1278,520,2050,19893,10862,4646,35401,40.69
33,VIJAYAPURA,2317,543,2236,35417,15822,5380,56619,23.44
34,YADAGIRI,1096,28,89,2223,671,256,3150,2.55
