S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1113,6278,83998,43379,21998,149375,65.82
2,BALLARI,1668,897,4292,69037,34857,18514,122408,53.78
3,BELAGAVI,1780,879,3866,58787,31867,15478,106132,49.38
4,BELAGAVI CHIKKODI,2253,1651,7055,129475,66941,35651,232067,73.28
5,BENGALURU RURAL,1217,803,2207,22603,12965,8983,44551,65.98
6,BENGALURU U NORTH,844,4,42,349,139,51,539,0.47
7,BENGALURU U SOUTH,1347,675,3069,40397,21852,10609,72858,50.11
8,BIDAR,1769,721,3752,37685,22211,13520,73416,40.76
9,CHAMARAJANAGARA,934,503,1571,20184,12598,8879,41661,53.85
10,CHIKKABALLAPURA,1664,974,2776,29575,16894,10440,56909,58.53
11,CHIKKAMAGALURU,1635,700,1972,16276,9607,6125,32008,42.81
12,CHITRADURGA,2039,1746,6414,71702,41785,25690,139177,85.63
13,DAKSHINA KANNADA,1421,735,2748,31702,22272,18121,72095,51.72
14,DAVANAGERE,1846,1218,5349,61674,34130,20570,116374,65.98
15,DHARWAD,1076,552,3113,44734,24243,12022,80999,51.3
16,GADAG,887,128,727,10009,4825,1829,16663,14.43
17,HASSAN,2720,2008,5741,43941,26407,20249,90597,73.82
18,HAVERI,1519,996,4389,64592,36190,18537,119319,65.57
19,KALABURGI,2180,572,2241,39960,17376,3321,60657,26.24
20,KODAGU,499,167,638,4301,3241,2456,9998,33.47
21,KOLAR,2039,1107,3158,31145,18914,10930,60989,54.29
22,KOPPAL,1151,368,1719,34230,15718,5778,55726,31.97
23,MANDYA,2006,914,2636,28089,17211,10666,55966,45.56
24,MYSURU,2399,930,3426,44607,26407,15894,86908,38.77
25,RAICHUR,1727,603,2251,44941,18224,5210,68375,34.92
26,RAMANAGARA,1466,617,1691,18287,9461,6272,34020,42.09
27,SHIVAMOGGA,2257,1554,5070,50475,30108,20003,100586,68.85
28,TUMAKURU,2429,723,2051,20165,12416,7224,39805,29.77
29,TUMAKURU MADHUGIRI,1477,656,1831,20439,10406,6447,37292,44.41
30,UDUPI,967,777,2872,28230,19900,14341,62471,80.35
31,UTTARA KANNADA,1102,501,1501,11810,7972,6793,26575,45.46
32,UTTARA KANNADA SIRSI,1278,486,1396,16397,9138,4378,29913,38.03
33,VIJAYAPURA,2317,515,2123,32145,14932,5492,52569,22.23
34,YADAGIRI,1096,23,78,1791,568,253,2612,2.1
