S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,15,71,1359,465,157,1981,0.89
2,BALLARI,1668,21,83,1463,667,164,2294,1.26
3,BELAGAVI,1780,16,55,1229,603,0,1832,0.9
4,BELAGAVI CHIKKODI,2253,23,79,1877,677,173,2727,1.02
5,BENGALURU RURAL,1217,28,63,612,526,135,1273,2.3
6,BENGALURU U NORTH,844,3,18,361,180,0,541,0.36
7,BENGALURU U SOUTH,1347,15,57,404,530,571,1505,1.11
8,BIDAR,1769,10,39,484,383,193,1060,0.57
9,CHAMARAJANAGARA,934,4,7,97,12,0,109,0.43
10,CHIKKABALLAPURA,1664,20,42,281,167,162,610,1.2
11,CHIKKAMAGALURU,1635,12,27,222,64,88,374,0.73
12,CHITRADURGA,2039,62,185,1759,1146,639,3544,3.04
13,DAKSHINA KANNADA,1421,14,52,311,228,263,802,0.99
14,DAVANAGERE,1846,35,145,1617,942,383,2942,1.9
15,DHARWAD,1076,13,51,657,378,402,1437,1.21
16,GADAG,887,1,3,0,32,44,76,0.11
17,HASSAN,2720,34,94,653,362,343,1358,1.25
18,HAVERI,1519,17,60,779,470,485,1734,1.12
19,KALABURGI,2180,7,26,378,137,66,581,0.32
20,KODAGU,499,1,8,74,30,0,104,0.2
21,KOLAR,2039,15,34,414,112,0,526,0.74
22,KOPPAL,1151,7,28,500,116,432,1048,0.61
23,MANDYA,2006,23,78,670,525,381,1576,1.15
24,MYSURU,2399,13,45,379,271,102,752,0.54
25,RAICHUR,1727,11,34,604,373,302,1279,0.64
26,RAMANAGARA,1466,18,55,376,359,177,912,1.23
27,SHIVAMOGGA,2257,41,88,706,376,183,1265,1.82
28,TUMAKURU,2429,18,36,162,179,122,463,0.74
29,TUMAKURU MADHUGIRI,1477,19,30,302,82,83,467,1.29
30,UDUPI,967,10,41,405,201,15,621,1.03
31,UTTARA KANNADA,1102,5,6,39,2,0,41,0.45
32,UTTARA KANNADA SIRSI,1278,14,24,232,93,0,325,1.1
33,VIJAYAPURA,2317,11,41,509,274,79,862,0.47
34,YADAGIRI,1096,0,0,0,0,0,0,0
