S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,943,4667,72496,37877,18307,128680,55.77
2,BALLARI,1668,818,4820,65972,33257,14578,113807,49.04
3,BELAGAVI,1780,628,3244,44289,22871,10620,77780,35.28
4,BELAGAVI CHIKKODI,2253,1378,6200,107126,58025,31667,196818,61.16
5,BENGALURU RURAL,1217,768,2313,21229,13335,8312,42876,63.11
6,BENGALURU U NORTH,844,603,2856,37726,23403,14165,75294,71.45
7,BENGALURU U SOUTH,1347,652,2984,43556,24003,10621,78180,48.4
8,BIDAR,1769,701,4420,39625,22433,12396,74454,39.63
9,CHAMARAJANAGARA,934,549,2829,25581,15199,10257,51037,58.78
10,CHIKKABALLAPURA,1664,925,2788,28530,17175,11355,57060,55.59
11,CHIKKAMAGALURU,1635,452,1586,13378,6885,4335,24598,27.65
12,CHITRADURGA,2039,1760,7840,75730,43040,27080,145850,86.32
13,DAKSHINA KANNADA,1421,578,2683,28658,21559,17542,67759,40.68
14,DAVANAGERE,1846,1116,5140,57063,31786,19008,107857,60.46
15,DHARWAD,1076,585,3679,47116,26160,13458,86734,54.37
16,GADAG,887,54,380,5471,2417,579,8467,6.09
17,HASSAN,2720,1819,6255,43609,25653,19121,88383,66.88
18,HAVERI,1519,918,4665,61712,33723,17228,112663,60.43
19,KALABURGI,2180,557,2968,41213,18204,2087,61504,25.55
20,KODAGU,499,7,19,130,71,85,286,1.4
21,KOLAR,2039,689,2092,20263,11458,7606,39327,33.79
22,KOPPAL,1151,338,1656,32221,15610,6555,54386,29.37
23,MANDYA,2006,765,2260,25055,15730,11246,52031,38.14
24,MYSURU,2399,707,2894,35476,22325,14285,72086,29.47
25,RAICHUR,1727,540,2237,43558,18198,5171,66927,31.27
26,RAMANAGARA,1466,597,1727,16718,9503,6229,32450,40.72
27,SHIVAMOGGA,2257,1324,5527,46965,28874,20777,96616,58.66
28,TUMAKURU,2429,386,1308,12460,8041,4499,25000,15.89
29,TUMAKURU MADHUGIRI,1477,516,1599,16212,8760,5420,30392,34.94
30,UDUPI,967,543,2259,21657,16532,11809,49998,56.15
31,UTTARA KANNADA,1102,505,1672,12147,8034,5581,25762,45.83
32,UTTARA KANNADA SIRSI,1278,445,1388,16773,9366,4261,30400,34.82
33,VIJAYAPURA,2317,563,2615,37614,17667,6777,62058,24.3
34,YADAGIRI,1096,25,89,1894,528,386,2808,2.28
