S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,876,4183,65254,32717,16283,114254,51.8
2,BALLARI,1668,731,3951,54553,27550,11930,94033,43.82
3,BELAGAVI,1780,559,2745,37799,20468,9587,67854,31.4
4,BELAGAVI CHIKKODI,2253,1254,5210,90892,47550,25978,164420,55.66
5,BENGALURU RURAL,1217,690,2023,18192,11009,8003,37204,56.7
6,BENGALURU U NORTH,844,572,2537,32914,20459,11357,64730,67.77
7,BENGALURU U SOUTH,1347,623,2698,38212,20800,9948,68960,46.25
8,BIDAR,1769,606,3019,30127,17369,11272,58768,34.26
9,CHAMARAJANAGARA,934,519,2236,23333,13941,9142,46416,55.57
10,CHIKKABALLAPURA,1664,867,2579,25813,15196,9330,50339,52.1
11,CHIKKAMAGALURU,1635,389,1395,10181,5972,4567,20720,23.79
12,CHITRADURGA,2039,1676,5798,69885,38626,23063,131574,82.2
13,DAKSHINA KANNADA,1421,21,103,717,465,331,1513,1.48
14,DAVANAGERE,1846,905,3935,44657,24463,13547,82667,49.02
15,DHARWAD,1076,464,2767,34788,19494,10836,65118,43.12
16,GADAG,887,2,15,196,120,92,408,0.23
17,HASSAN,2720,1753,5335,40644,23589,17780,82013,64.45
18,HAVERI,1519,803,3674,48471,25808,13962,88241,52.86
19,KALABURGI,2180,471,2414,31415,13376,1823,46614,21.61
20,KODAGU,499,8,32,155,244,197,596,1.6
21,KOLAR,2039,628,1915,18035,10695,5720,34450,30.8
22,KOPPAL,1151,305,1460,29155,13197,5176,47528,26.5
23,MANDYA,2006,716,2704,22968,14172,9671,46811,35.69
24,MYSURU,2399,687,2911,33283,21208,13449,67940,28.64
25,RAICHUR,1727,521,2227,38868,16503,5104,60475,30.17
26,RAMANAGARA,1466,574,1667,16101,8882,5721,30704,39.15
27,SHIVAMOGGA,2257,1194,4057,36981,22620,15384,74985,52.9
28,TUMAKURU,2429,286,948,7810,5991,3977,17778,11.77
29,TUMAKURU MADHUGIRI,1477,464,1382,14004,6953,4689,25646,31.42
30,UDUPI,967,456,1833,18874,12112,8249,39235,47.16
31,UTTARA KANNADA,1102,453,1463,10384,6823,5500,22707,41.11
32,UTTARA KANNADA SIRSI,1278,367,1034,12266,6483,3545,22294,28.72
33,VIJAYAPURA,2317,523,3151,33192,16421,7040,56653,22.57
34,YADAGIRI,1096,25,85,1440,446,514,2400,2.28
