S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,38,151,1956,919,842,3717,2.25
2,BALLARI,1668,19,77,1133,468,60,1661,1.14
3,BELAGAVI,1780,41,99,1382,620,93,2095,2.3
4,BELAGAVI CHIKKODI,2253,49,141,2401,846,657,3904,2.17
5,BENGALURU RURAL,1217,28,132,499,261,164,924,2.3
6,BENGALURU U NORTH,844,22,86,989,437,203,1629,2.61
7,BENGALURU U SOUTH,1347,14,35,111,240,502,853,1.04
8,BIDAR,1769,16,100,1771,1109,665,3545,0.9
9,CHAMARAJANAGARA,934,5,15,154,56,244,454,0.54
10,CHIKKABALLAPURA,1664,47,104,1185,443,183,1811,2.82
11,CHIKKAMAGALURU,1635,16,55,518,312,0,830,0.98
12,CHITRADURGA,2039,75,145,1093,849,522,2464,3.68
13,DAKSHINA KANNADA,1421,6,25,102,135,254,491,0.42
14,DAVANAGERE,1846,67,270,3294,1141,261,4696,3.63
15,DHARWAD,1076,50,353,3461,2074,605,6140,4.65
16,GADAG,887,0,0,0,0,0,0,0
17,HASSAN,2720,32,83,626,249,142,1017,1.18
18,HAVERI,1519,26,88,1213,563,99,1875,1.71
19,KALABURGI,2180,7,28,413,234,171,818,0.32
20,KODAGU,499,1,0,0,0,0,0,0.2
21,KOLAR,2039,43,126,1406,599,0,2005,2.11
22,KOPPAL,1151,3,39,202,102,103,407,0.26
23,MANDYA,2006,22,59,497,210,124,831,1.1
24,MYSURU,2399,15,35,329,186,84,599,0.63
25,RAICHUR,1727,9,28,508,192,55,755,0.52
26,RAMANAGARA,1466,18,59,548,349,177,1074,1.23
27,SHIVAMOGGA,2257,80,201,2254,1325,251,3830,3.54
28,TUMAKURU,2429,12,18,177,124,103,404,0.49
29,TUMAKURU MADHUGIRI,1477,21,59,421,327,200,948,1.42
30,UDUPI,967,13,52,498,334,255,1087,1.34
31,UTTARA KANNADA,1102,10,32,234,102,22,358,0.91
32,UTTARA KANNADA SIRSI,1278,23,52,509,340,158,1007,1.8
33,VIJAYAPURA,2317,49,206,2224,1134,359,3717,2.11
34,YADAGIRI,1096,0,0,0,0,0,0,0
