S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1056,5239,81768,41954,21082,144804,62.45
2,BALLARI,1668,889,4512,71024,35895,16109,123028,53.3
3,BELAGAVI,1780,723,4548,51694,26730,10539,88963,40.62
4,BELAGAVI CHIKKODI,2253,1617,7108,125694,67732,37466,230892,71.77
5,BENGALURU RURAL,1217,829,2576,23716,15065,9935,48716,68.12
6,BENGALURU U NORTH,844,597,2640,38470,24182,13470,76122,70.73
7,BENGALURU U SOUTH,1347,684,3132,46412,26409,12339,85160,50.78
8,BIDAR,1769,713,3588,40252,23511,13247,77010,40.31
9,CHAMARAJANAGARA,934,546,1934,24003,14950,10244,49197,58.46
10,CHIKKABALLAPURA,1664,959,2898,28754,17243,11097,57094,57.63
11,CHIKKAMAGALURU,1635,632,2012,16667,9028,5921,31616,38.65
12,CHITRADURGA,2039,1753,6969,74784,42934,26562,144280,85.97
13,DAKSHINA KANNADA,1421,759,3249,36795,27721,23286,87802,53.41
14,DAVANAGERE,1846,1207,5969,62778,34282,19852,116912,65.38
15,DHARWAD,1076,568,4924,46159,25544,13904,85607,52.79
16,GADAG,887,99,578,7887,4041,1211,13139,11.16
17,HASSAN,2720,1912,5936,45215,27471,20304,92990,70.29
18,HAVERI,1519,977,4749,63628,35477,19623,118728,64.32
19,KALABURGI,2180,573,2255,40792,17478,2244,60514,26.28
20,KODAGU,499,66,272,2655,1677,930,5262,13.23
21,KOLAR,2039,952,2951,27653,17390,11304,56347,46.69
22,KOPPAL,1151,367,2185,35708,16817,6559,59084,31.89
23,MANDYA,2006,874,2710,28788,17596,11053,57437,43.57
24,MYSURU,2399,865,3348,43146,26653,16305,86104,36.06
25,RAICHUR,1727,560,2325,44414,18909,5797,69120,32.43
26,RAMANAGARA,1466,614,1826,17793,9686,6606,34085,41.88
27,SHIVAMOGGA,2257,1502,5857,49852,30215,20910,100977,66.55
28,TUMAKURU,2429,527,1710,15465,10033,6294,31792,21.7
29,TUMAKURU MADHUGIRI,1477,642,1915,20669,10631,7122,38422,43.47
30,UDUPI,967,688,2659,27717,18811,13235,59763,71.15
31,UTTARA KANNADA,1102,489,1631,11905,8016,6145,26066,44.37
32,UTTARA KANNADA SIRSI,1278,498,1527,18000,10518,5629,34147,38.97
33,VIJAYAPURA,2317,581,3335,40128,19345,6653,66126,25.08
34,YADAGIRI,1096,26,91,2189,659,365,3213,2.37
