S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1099,6004,83277,42849,21353,147479,64.99
2,BALLARI,1668,885,4350,69366,33998,16205,119569,53.06
3,BELAGAVI,1780,871,4048,59793,31850,14916,106559,48.93
4,BELAGAVI CHIKKODI,2253,1662,7490,127240,69146,39701,236087,73.77
5,BENGALURU RURAL,1217,772,2128,21338,13071,8807,43216,63.43
6,BENGALURU U NORTH,844,11,76,698,598,324,1620,1.3
7,BENGALURU U SOUTH,1347,591,2441,36176,19462,9856,65494,43.88
8,BIDAR,1769,681,3298,37668,22301,13209,73178,38.5
9,CHAMARAJANAGARA,934,493,1567,20212,12472,8748,41432,52.78
10,CHIKKABALLAPURA,1664,962,2765,29863,17117,10357,57337,57.81
11,CHIKKAMAGALURU,1635,645,2481,16336,9166,6102,31604,39.45
12,CHITRADURGA,2039,1736,6188,75093,42886,25281,143260,85.14
13,DAKSHINA KANNADA,1421,768,4274,35238,25008,19851,80097,54.05
14,DAVANAGERE,1846,1231,5363,64593,35570,20813,120976,66.68
15,DHARWAD,1076,558,3148,46738,24228,10819,81785,51.86
16,GADAG,887,113,632,9408,4579,1394,15381,12.74
17,HASSAN,2720,1943,5459,44482,25343,19275,89100,71.43
18,HAVERI,1519,985,4609,64612,35751,18206,118569,64.85
19,KALABURGI,2180,560,2589,41031,17740,2791,61562,25.69
20,KODAGU,499,109,406,3603,2277,1544,7424,21.84
21,KOLAR,2039,1041,3219,29236,17088,10626,56950,51.05
22,KOPPAL,1151,377,1901,35590,16365,6511,58466,32.75
23,MANDYA,2006,870,2991,26100,16281,10959,53340,43.37
24,MYSURU,2399,935,3261,42611,25384,15081,83076,38.97
25,RAICHUR,1727,549,2176,44208,17484,4993,66685,31.79
26,RAMANAGARA,1466,587,1644,16284,9329,6051,31664,40.04
27,SHIVAMOGGA,2257,1508,4979,47994,29074,18653,95721,66.81
28,TUMAKURU,2429,574,1628,16924,10345,5570,32839,23.63
29,TUMAKURU MADHUGIRI,1477,668,1831,20550,11165,7183,38898,45.23
30,UDUPI,967,788,2909,29710,20499,14898,65107,81.49
31,UTTARA KANNADA,1102,486,1435,11657,7053,4979,23689,44.1
32,UTTARA KANNADA SIRSI,1278,475,1342,17353,8698,3542,29593,37.17
33,VIJAYAPURA,2317,527,2310,35307,15877,5072,56256,22.74
34,YADAGIRI,1096,24,69,1848,541,219,2608,2.19
