S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,3,14,89,100,59,248,0.18
2,BALLARI,1668,15,69,1375,612,0,1987,0.9
3,BELAGAVI,1780,1,5,0,50,89,139,0.06
4,BELAGAVI CHIKKODI,2253,2,1,37,0,0,37,0.09
5,BENGALURU RURAL,1217,38,98,883,550,167,1600,3.12
6,BENGALURU U NORTH,844,35,192,1696,1392,1429,4517,4.15
7,BENGALURU U SOUTH,1347,22,89,710,597,1002,2309,1.63
8,BIDAR,1769,29,187,2331,1455,1160,4946,1.64
9,CHAMARAJANAGARA,934,11,36,833,367,0,1200,1.18
10,CHIKKABALLAPURA,1664,74,184,2023,716,703,3442,4.45
11,CHIKKAMAGALURU,1635,5,15,45,44,47,136,0.31
12,CHITRADURGA,2039,90,223,2130,1004,691,3825,4.41
13,DAKSHINA KANNADA,1421,3,14,54,52,33,139,0.21
14,DAVANAGERE,1846,75,281,3603,1476,365,5444,4.06
15,DHARWAD,1076,56,345,3964,2142,704,6810,5.2
16,GADAG,887,1,5,123,19,0,142,0.11
17,HASSAN,2720,7,19,251,103,0,354,0.26
18,HAVERI,1519,2,8,89,101,108,298,0.13
19,KALABURGI,2180,11,51,647,481,163,1291,0.5
20,KODAGU,499,1,17,0,58,196,254,0.2
21,KOLAR,2039,8,18,163,103,0,266,0.39
22,KOPPAL,1151,14,63,1279,508,350,2137,1.22
23,MANDYA,2006,6,20,219,114,0,333,0.3
24,MYSURU,2399,5,23,362,190,170,722,0.21
25,RAICHUR,1727,1,2,47,0,0,47,0.06
26,RAMANAGARA,1466,32,130,908,478,540,1926,2.18
27,SHIVAMOGGA,2257,7,24,103,133,170,406,0.31
28,TUMAKURU,2429,2,10,87,60,51,198,0.08
29,TUMAKURU MADHUGIRI,1477,2,3,31,0,0,31,0.14
30,UDUPI,967,14,37,252,149,249,650,1.45
31,UTTARA KANNADA,1102,17,51,245,146,162,553,1.54
32,UTTARA KANNADA SIRSI,1278,11,60,357,270,0,627,0.86
33,VIJAYAPURA,2317,51,223,2485,1283,441,4209,2.2
34,YADAGIRI,1096,2,6,195,0,0,195,0.18
