S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,280,2244,22742,11598,7120,41460,16.56
2,BALLARI,1668,696,4621,54538,28412,13110,96060,41.73
3,BELAGAVI,1780,17,84,965,900,871,2736,0.96
4,BELAGAVI CHIKKODI,2253,31,116,2424,1224,0,3648,1.38
5,BENGALURU RURAL,1217,648,1905,17833,11484,6653,35970,53.25
6,BENGALURU U NORTH,844,542,2576,34608,21769,12515,68892,64.22
7,BENGALURU U SOUTH,1347,568,2525,38931,21076,10423,70430,42.17
8,BIDAR,1769,646,3325,36379,21620,13097,71096,36.52
9,CHAMARAJANAGARA,934,503,1755,22763,13286,9086,45135,53.85
10,CHIKKABALLAPURA,1664,871,2660,26853,16270,10933,54056,52.34
11,CHIKKAMAGALURU,1635,43,125,1206,629,142,1977,2.63
12,CHITRADURGA,2039,1629,5892,68900,38976,23168,131044,79.89
13,DAKSHINA KANNADA,1421,36,159,1435,1223,1330,3988,2.53
14,DAVANAGERE,1846,947,4256,48718,26870,16940,92528,51.3
15,DHARWAD,1076,490,3578,40549,22544,13003,76096,45.54
16,GADAG,887,2,15,317,95,0,412,0.23
17,HASSAN,2720,49,164,1382,820,496,2698,1.8
18,HAVERI,1519,22,97,981,601,585,2167,1.45
19,KALABURGI,2180,442,1801,34173,14968,1760,50901,20.28
20,KODAGU,499,2,16,10,57,195,262,0.4
21,KOLAR,2039,70,239,1702,1285,849,3836,3.43
22,KOPPAL,1151,297,1470,29159,14128,5257,48544,25.8
23,MANDYA,2006,34,102,1034,394,100,1528,1.69
24,MYSURU,2399,39,157,1608,743,681,3032,1.63
25,RAICHUR,1727,32,143,2555,1045,358,3958,1.85
26,RAMANAGARA,1466,505,1456,13837,8278,6345,28460,34.45
27,SHIVAMOGGA,2257,45,160,1084,887,528,2499,1.99
28,TUMAKURU,2429,27,76,677,402,319,1398,1.11
29,TUMAKURU MADHUGIRI,1477,37,100,1153,556,401,2110,2.51
30,UDUPI,967,431,1735,17495,12379,9245,39119,44.57
31,UTTARA KANNADA,1102,440,1489,9792,8600,5903,24295,39.93
32,UTTARA KANNADA SIRSI,1278,313,1004,10469,5582,2679,18730,24.49
33,VIJAYAPURA,2317,454,2116,31629,15244,5724,52597,19.59
34,YADAGIRI,1096,24,82,1792,441,145,2378,2.19
