S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,892,6534,70397,36011,17306,123714,52.75
2,BALLARI,1668,737,4465,58052,29846,12458,100356,44.18
3,BELAGAVI,1780,607,3373,45329,25137,11051,81517,34.1
4,BELAGAVI CHIKKODI,2253,1256,6260,98955,53642,25963,178560,55.75
5,BENGALURU RURAL,1217,688,2216,18500,12151,7286,37937,56.53
6,BENGALURU U NORTH,844,564,2831,34755,21566,12471,68792,66.82
7,BENGALURU U SOUTH,1347,606,3239,40086,22407,10061,72554,44.99
8,BIDAR,1769,636,3447,36104,21434,13646,71184,35.95
9,CHAMARAJANAGARA,934,480,1926,22654,13268,8403,44325,51.39
10,CHIKKABALLAPURA,1664,865,2859,27060,16766,10885,54711,51.98
11,CHIKKAMAGALURU,1635,432,1522,11455,6671,4619,22745,26.42
12,CHITRADURGA,2039,1691,6787,73140,41707,25045,139892,82.93
13,DAKSHINA KANNADA,1421,578,2789,28709,20844,16989,66542,40.68
14,DAVANAGERE,1846,1078,5128,55087,30962,18116,104165,58.4
15,DHARWAD,1076,557,3959,45935,24969,12965,83869,51.77
16,GADAG,887,1,10,195,77,0,272,0.11
17,HASSAN,2720,1803,5907,42047,25780,19186,87013,66.29
18,HAVERI,1519,866,4459,57720,32227,16695,106642,57.01
19,KALABURGI,2180,474,3077,35718,15416,2083,53217,21.74
20,KODAGU,499,7,33,229,210,83,522,1.4
21,KOLAR,2039,653,2157,18969,11964,6465,37398,32.03
22,KOPPAL,1151,325,1629,31357,14263,5900,51520,28.24
23,MANDYA,2006,748,2501,24053,15442,11061,50556,37.29
24,MYSURU,2399,681,3116,32908,20684,12895,66487,28.39
25,RAICHUR,1727,530,2287,41989,16406,5426,63821,30.69
26,RAMANAGARA,1466,557,1721,15759,8507,5795,30061,37.99
27,SHIVAMOGGA,2257,1273,4874,43073,26041,17474,86588,56.4
28,TUMAKURU,2429,195,621,5997,4903,2556,13456,8.03
29,TUMAKURU MADHUGIRI,1477,504,1668,15888,8998,5901,30787,34.12
30,UDUPI,967,514,2114,20656,14148,9096,43900,53.15
31,UTTARA KANNADA,1102,467,1645,10500,6623,4425,21548,42.38
32,UTTARA KANNADA SIRSI,1278,374,1145,13091,6567,2650,22308,29.26
33,VIJAYAPURA,2317,520,2698,37269,18261,6300,61830,22.44
34,YADAGIRI,1096,28,107,2144,605,451,3200,2.55
