S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1104,6104,85977,44756,22218,152951,65.29
2,BALLARI,1668,892,5635,71840,35891,16211,123942,53.48
3,BELAGAVI,1780,822,3732,57617,30618,13916,102151,46.18
4,BELAGAVI CHIKKODI,2253,1635,7079,128019,69652,39635,237306,72.57
5,BENGALURU RURAL,1217,794,2287,22671,13500,9522,45693,65.24
6,BENGALURU U NORTH,844,604,2796,38068,23680,13191,74939,71.56
7,BENGALURU U SOUTH,1347,686,3037,45968,25314,12659,83941,50.93
8,BIDAR,1769,702,3594,40059,24152,13360,77571,39.68
9,CHAMARAJANAGARA,934,542,1810,23208,13999,10175,47382,58.03
10,CHIKKABALLAPURA,1664,961,2737,29481,17151,10623,57255,57.75
11,CHIKKAMAGALURU,1635,679,2041,17271,9555,6769,33595,41.53
12,CHITRADURGA,2039,1780,6457,75919,43254,26548,145721,87.3
13,DAKSHINA KANNADA,1421,767,3278,37861,26796,21855,86512,53.98
14,DAVANAGERE,1846,1195,5835,63247,34129,20658,118034,64.73
15,DHARWAD,1076,591,4414,49549,27286,13595,90430,54.93
16,GADAG,887,109,634,9442,4391,1256,15089,12.29
17,HASSAN,2720,1949,5785,46947,27396,19675,94018,71.65
18,HAVERI,1519,973,4721,64021,35553,18752,118326,64.06
19,KALABURGI,2180,594,2371,45208,19176,2074,66458,27.25
20,KODAGU,499,100,391,3295,1860,1158,6313,20.04
21,KOLAR,2039,991,2876,27966,16211,10003,54180,48.6
22,KOPPAL,1151,370,1814,35356,17074,7018,59448,32.15
23,MANDYA,2006,911,3284,29713,18233,11185,59131,45.41
24,MYSURU,2399,871,4099,42181,26512,16786,85479,36.31
25,RAICHUR,1727,569,2277,44985,18052,5906,68943,32.95
26,RAMANAGARA,1466,600,1715,16451,9499,6617,32567,40.93
27,SHIVAMOGGA,2257,1485,4933,50095,29699,19822,99616,65.8
28,TUMAKURU,2429,558,1777,16782,10942,7582,35306,22.97
29,TUMAKURU MADHUGIRI,1477,652,1750,20648,10353,6853,37854,44.14
30,UDUPI,967,741,3315,29869,19980,13744,63593,76.63
31,UTTARA KANNADA,1102,490,1556,11845,7934,5251,25030,44.46
32,UTTARA KANNADA SIRSI,1278,486,1466,16936,8995,4655,30586,38.03
33,VIJAYAPURA,2317,574,2656,39228,19483,6879,65590,24.77
34,YADAGIRI,1096,25,83,1883,605,368,2856,2.28
