S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,971,5875,76820,39126,18380,134326,57.42
2,BALLARI,1668,861,5261,71339,36269,15436,123044,51.62
3,BELAGAVI,1780,691,3540,49282,25544,10215,85041,38.82
4,BELAGAVI CHIKKODI,2253,1381,6449,109338,58986,32215,200539,61.3
5,BENGALURU RURAL,1217,758,2414,22286,13299,8184,43769,62.28
6,BENGALURU U NORTH,844,594,2984,36791,23367,13578,73736,70.38
7,BENGALURU U SOUTH,1347,631,3043,41617,23437,10719,75773,46.84
8,BIDAR,1769,675,3626,37882,21984,12458,72324,38.16
9,CHAMARAJANAGARA,934,512,1999,22773,13821,9291,45885,54.82
10,CHIKKABALLAPURA,1664,920,2927,28388,16243,10980,55611,55.29
11,CHIKKAMAGALURU,1635,509,1723,13284,7143,4993,25420,31.13
12,CHITRADURGA,2039,1628,6288,70546,40295,24857,135698,79.84
13,DAKSHINA KANNADA,1421,628,3204,30810,22353,18909,72072,44.19
14,DAVANAGERE,1846,1114,6269,57812,31852,18354,108018,60.35
15,DHARWAD,1076,567,5005,46056,26192,13798,86046,52.7
16,GADAG,887,45,339,4305,1930,511,6746,5.07
17,HASSAN,2720,1805,5722,43948,25288,18583,87819,66.36
18,HAVERI,1519,935,4766,61041,33438,17936,112415,61.55
19,KALABURGI,2180,535,2380,40108,17430,2262,59800,24.54
20,KODAGU,499,8,28,112,90,138,340,1.6
21,KOLAR,2039,778,2474,21633,13091,8212,42936,38.16
22,KOPPAL,1151,339,1715,32267,15690,6668,54625,29.45
23,MANDYA,2006,753,2306,24283,14570,9718,48571,37.54
24,MYSURU,2399,729,3046,36254,22561,13398,72213,30.39
25,RAICHUR,1727,556,2349,45273,17625,4853,67751,32.19
26,RAMANAGARA,1466,601,1802,16459,9568,6425,32452,41
27,SHIVAMOGGA,2257,1303,5107,44224,27189,19018,90431,57.73
28,TUMAKURU,2429,423,1350,11855,7917,4184,23956,17.41
29,TUMAKURU MADHUGIRI,1477,519,1639,16323,8329,5050,29702,35.14
30,UDUPI,967,585,2889,22760,16141,11631,50532,60.5
31,UTTARA KANNADA,1102,487,1686,11034,6813,4350,22197,44.19
32,UTTARA KANNADA SIRSI,1278,451,1370,15542,7984,3804,27330,35.29
33,VIJAYAPURA,2317,522,2590,36041,17062,6906,60009,22.53
34,YADAGIRI,1096,25,100,2059,861,392,3312,2.28
