S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1100,5994,83546,43840,22571,149957,65.05
2,BALLARI,1668,906,4746,72939,36057,16206,125202,54.32
3,BELAGAVI,1780,858,4612,59015,32323,16418,107756,48.2
4,BELAGAVI CHIKKODI,2253,1669,7458,130192,71647,41744,243583,74.08
5,BENGALURU RURAL,1217,804,2415,22470,14268,9516,46254,66.06
6,BENGALURU U NORTH,844,29,222,2211,1610,1181,5002,3.44
7,BENGALURU U SOUTH,1347,658,2899,43511,24122,11765,79398,48.85
8,BIDAR,1769,709,3476,38441,22725,13960,75126,40.08
9,CHAMARAJANAGARA,934,542,1738,23012,13395,9823,46230,58.03
10,CHIKKABALLAPURA,1664,934,2751,28599,16950,10946,56495,56.13
11,CHIKKAMAGALURU,1635,674,1907,17961,9502,5820,33283,41.22
12,CHITRADURGA,2039,1739,6088,72864,42332,26960,142156,85.29
13,DAKSHINA KANNADA,1421,784,3211,40326,27822,21806,89954,55.17
14,DAVANAGERE,1846,1227,5981,64135,35089,21018,120242,66.47
15,DHARWAD,1076,583,3414,47246,25667,13121,86034,54.18
16,GADAG,887,119,656,10155,4748,1448,16351,13.42
17,HASSAN,2720,1974,6022,47980,27491,20894,96365,72.57
18,HAVERI,1519,991,4836,64074,35615,20170,119859,65.24
19,KALABURGI,2180,593,2605,44724,18834,2491,66049,27.2
20,KODAGU,499,112,452,4506,2608,1887,9001,22.44
21,KOLAR,2039,1023,3034,30407,17851,10878,59136,50.17
22,KOPPAL,1151,381,1901,36178,17157,6502,59837,33.1
23,MANDYA,2006,884,2652,28819,17107,11280,57206,44.07
24,MYSURU,2399,898,3314,43285,26450,16281,86016,37.43
25,RAICHUR,1727,566,2280,43319,18097,6084,67500,32.77
26,RAMANAGARA,1466,581,1636,16136,9471,6059,31666,39.63
27,SHIVAMOGGA,2257,1494,4989,49896,30355,19780,100031,66.19
28,TUMAKURU,2429,590,2288,15643,9345,6686,31674,24.29
29,TUMAKURU MADHUGIRI,1477,674,1925,21198,11057,7473,39728,45.63
30,UDUPI,967,756,2919,29476,20460,14447,64383,78.18
31,UTTARA KANNADA,1102,492,1558,11712,7708,5958,25378,44.65
32,UTTARA KANNADA SIRSI,1278,502,1535,19868,10608,4989,35465,39.28
33,VIJAYAPURA,2317,545,2468,36586,17287,5519,59392,23.52
34,YADAGIRI,1096,25,75,1896,504,231,2631,2.28
