S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,31,192,3029,1399,459,4887,1.83
2,BALLARI,1668,682,3576,53289,27212,13807,94308,40.89
3,BELAGAVI,1780,3,17,127,115,84,326,0.17
4,BELAGAVI CHIKKODI,2253,15,63,1129,619,0,1748,0.67
5,BENGALURU RURAL,1217,590,1839,16431,10446,7015,33892,48.48
6,BENGALURU U NORTH,844,555,2671,35725,21976,12798,70499,65.76
7,BENGALURU U SOUTH,1347,511,2444,35223,20504,9926,65653,37.94
8,BIDAR,1769,649,3538,36388,21981,14195,72564,36.69
9,CHAMARAJANAGARA,934,484,1760,22018,13591,9045,44654,51.82
10,CHIKKABALLAPURA,1664,858,2679,26488,15495,9495,51478,51.56
11,CHIKKAMAGALURU,1635,12,35,337,164,0,501,0.73
12,CHITRADURGA,2039,1662,6429,72803,41246,25113,139162,81.51
13,DAKSHINA KANNADA,1421,22,93,729,588,468,1785,1.55
14,DAVANAGERE,1846,970,4495,50475,28403,17704,96582,52.55
15,DHARWAD,1076,513,3214,42991,25496,13699,82186,47.68
16,GADAG,887,2,16,318,95,0,413,0.23
17,HASSAN,2720,47,166,1378,734,632,2744,1.73
18,HAVERI,1519,25,133,1080,788,906,2774,1.65
19,KALABURGI,2180,455,2308,35296,14927,2574,52797,20.87
20,KODAGU,499,3,20,30,55,179,264,0.6
21,KOLAR,2039,20,56,472,243,35,750,0.98
22,KOPPAL,1151,301,1548,29335,13591,5722,48648,26.15
23,MANDYA,2006,16,42,549,223,63,835,0.8
24,MYSURU,2399,28,135,931,603,851,2385,1.17
25,RAICHUR,1727,17,100,1422,735,10,2167,0.98
26,RAMANAGARA,1466,480,1456,15043,8320,5862,29225,32.74
27,SHIVAMOGGA,2257,33,85,639,280,288,1207,1.46
28,TUMAKURU,2429,15,48,354,239,103,696,0.62
29,TUMAKURU MADHUGIRI,1477,36,99,1231,423,198,1852,2.44
30,UDUPI,967,424,1793,17759,12317,8498,38574,43.85
31,UTTARA KANNADA,1102,413,1433,8866,6620,5949,21435,37.48
32,UTTARA KANNADA SIRSI,1278,308,913,8793,4741,2817,16351,24.1
33,VIJAYAPURA,2317,492,3364,34484,16751,7071,58306,21.23
34,YADAGIRI,1096,18,51,1127,194,92,1413,1.64
