S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1563,8115,111201,64231,34739,210171,92.43
2,BALLARI,1668,1472,7439,113482,61430,29450,204362,88.25
3,BELAGAVI,1780,1569,7889,101988,59915,35058,196961,88.15
4,BELAGAVI CHIKKODI,2253,2031,8619,149413,85525,48541,283479,90.15
5,BENGALURU RURAL,1217,1203,3596,30332,20156,12010,62498,98.85
6,BENGALURU U NORTH,844,661,3001,39017,24602,12883,76502,78.32
7,BENGALURU U SOUTH,1347,902,5171,53058,32767,17659,103484,66.96
8,BIDAR,1769,1081,5399,54617,33170,18076,105863,61.11
9,CHAMARAJANAGARA,934,621,2235,24697,15407,10253,50357,66.49
10,CHIKKABALLAPURA,1664,1409,4291,38093,24611,16770,79474,84.68
11,CHIKKAMAGALURU,1635,1489,5027,36961,21931,15160,74052,91.07
12,CHITRADURGA,2039,1874,6912,76261,43659,27780,147700,91.91
13,DAKSHINA KANNADA,1421,1342,5606,59958,43901,29990,133849,94.44
14,DAVANAGERE,1846,1645,8312,80942,48278,28442,157662,89.11
15,DHARWAD,1076,970,6452,74763,44151,26539,145453,90.15
16,GADAG,887,661,3669,47355,26261,14696,88312,74.52
17,HASSAN,2720,2093,6233,44888,28372,20305,93565,76.95
18,HAVERI,1519,1252,6227,78081,46514,24859,149454,82.42
19,KALABURGI,2179,977,4181,65087,31155,9931,106173,44.84
20,KODAGU,499,380,1464,11680,8095,6090,25865,76.15
21,KOLAR,2038,1891,5791,48929,31751,19258,99938,92.79
22,KOPPAL,1151,906,4344,79616,42256,20609,142481,78.71
23,MANDYA,2007,1683,5444,47186,30439,22549,100174,83.86
24,MYSURU,2399,1848,6324,79193,49529,28933,157655,77.03
25,RAICHUR,1727,1461,6353,103829,45972,21297,171098,84.6
26,RAMANAGARA,1466,1155,3240,27903,18695,11586,58184,78.79
27,SHIVAMOGGA,2257,2032,7232,63684,38682,26845,129211,90.03
28,TUMAKURU,2429,2115,6214,50754,35097,22830,108681,87.07
29,TUMAKURU MADHUGIRI,1477,1252,3666,37604,21149,12952,71705,84.77
30,UDUPI,967,918,3690,34989,23927,15806,74722,94.93
31,UTTARA KANNADA,1102,1021,3447,24709,14468,8742,47919,92.65
32,UTTARA KANNADA SIRSI,1278,1045,3209,33165,19197,11840,64202,81.77
33,VIJAYAPURA,2317,1327,7234,83261,43097,20811,147169,57.27
34,YADAGIRI,1096,711,2531,56090,23935,8881,88906,64.87
