S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1606,7826,116710,67032,36752,220494,94.97
2,BALLARI,1668,1499,7975,116611,63062,31976,211649,89.87
3,BELAGAVI,1780,1689,8691,112763,65552,37507,215822,94.89
4,BELAGAVI CHIKKODI,2253,2123,9017,158032,91291,51586,300909,94.23
5,BENGALURU RURAL,1217,1217,3582,30465,20714,13116,64295,100
6,BENGALURU U NORTH,844,689,3033,39885,25809,15623,81317,81.64
7,BENGALURU U SOUTH,1347,892,3875,54984,32197,15609,102790,66.22
8,BIDAR,1769,1213,5493,62167,37540,20843,120550,68.57
9,CHAMARAJANAGARA,934,733,2455,29962,18283,12383,60628,78.48
10,CHIKKABALLAPURA,1664,1486,4084,41696,26933,17509,86138,89.3
11,CHIKKAMAGALURU,1635,1496,4579,37449,22791,16447,76687,91.5
12,CHITRADURGA,2039,1915,6486,78831,46040,28681,153552,93.92
13,DAKSHINA KANNADA,1421,1386,5592,64031,47169,32782,143982,97.54
14,DAVANAGERE,1846,1709,7383,84402,51101,30276,165779,92.58
15,DHARWAD,1076,995,5705,77148,45808,27465,150421,92.47
16,GADAG,887,701,3794,49416,28191,16210,93817,79.03
17,HASSAN,2720,2156,6253,47002,29715,20983,97700,79.26
18,HAVERI,1519,1310,6424,81249,47694,26262,155205,86.24
19,KALABURGI,2179,1127,4654,74538,36843,13747,125128,51.72
20,KODAGU,499,405,1601,12547,8440,6825,27812,81.16
21,KOLAR,2038,1959,5958,52113,31901,20193,104207,96.12
22,KOPPAL,1151,926,4487,81781,43154,20615,145550,80.45
23,MANDYA,2007,1728,4787,47838,31323,23529,102690,86.1
24,MYSURU,2399,1948,7393,83975,53908,32781,170664,81.2
25,RAICHUR,1727,1537,5569,110644,50307,25522,186473,89
26,RAMANAGARA,1466,1205,3070,29944,18145,9836,57925,82.2
27,SHIVAMOGGA,2257,2118,6804,68397,41638,28101,138136,93.84
28,TUMAKURU,2429,2176,6741,54467,35349,23583,113399,89.58
29,TUMAKURU MADHUGIRI,1477,1320,4484,39826,23292,14817,77935,89.37
30,UDUPI,967,946,3539,36447,25282,17118,78847,97.83
31,UTTARA KANNADA,1102,1059,3396,26433,16988,11483,54904,96.1
32,UTTARA KANNADA SIRSI,1278,1116,4007,36783,22060,13085,71928,87.32
33,VIJAYAPURA,2317,1470,6769,90865,47179,24890,162934,63.44
34,YADAGIRI,1096,757,2921,60239,24950,9894,95083,69.07
