S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,884,2505,21444,13595,10785,45824,52.28
2,BALLARI,1668,1377,6900,98643,54090,26944,179677,82.55
3,BELAGAVI,1780,1464,7166,86366,53313,33130,172809,82.25
4,BELAGAVI CHIKKODI,2253,1768,7557,116969,68985,42044,227998,78.47
5,BENGALURU RURAL,1217,1217,3564,32223,20434,12204,64861,100
6,BENGALURU U NORTH,844,745,4014,42993,28366,16325,87684,88.27
7,BENGALURU U SOUTH,1347,942,3882,55100,34929,20765,110794,69.93
8,BIDAR,1769,367,1873,15959,10373,5989,32321,20.75
9,CHAMARAJANAGARA,934,701,2392,28802,18225,11098,58125,75.05
10,CHIKKABALLAPURA,1664,1500,4994,42145,26009,17152,85306,90.14
11,CHIKKAMAGALURU,1635,1505,4827,36029,22707,16055,74791,92.05
12,CHITRADURGA,2039,1968,6928,79671,45108,28390,153169,96.52
13,DAKSHINA KANNADA,1421,1392,5700,64115,45415,31510,141040,97.96
14,DAVANAGERE,1846,1733,7588,85751,50064,29779,165594,93.88
15,DHARWAD,1076,776,4499,54872,34424,23456,112752,72.12
16,GADAG,887,225,1147,15169,8319,4926,28414,25.37
17,HASSAN,2720,2218,6717,47234,30870,22063,100167,81.54
18,HAVERI,1519,1316,6569,80550,47418,26437,154405,86.64
19,KALABURGI,2179,138,517,6368,3137,959,10464,6.33
20,KODAGU,499,397,1589,11498,7966,6149,25613,79.56
21,KOLAR,2038,1931,5745,50948,31711,19568,102227,94.75
22,KOPPAL,1151,244,1155,17966,8844,4426,31236,21.2
23,MANDYA,2007,1791,5234,49750,32534,23773,106057,89.24
24,MYSURU,2399,1959,7372,82113,52399,32062,166574,81.66
25,RAICHUR,1727,533,2507,28590,12903,6416,47909,30.86
26,RAMANAGARA,1466,1225,3576,29820,19358,12520,61698,83.56
27,SHIVAMOGGA,2257,2038,6648,65561,38401,26444,130406,90.3
28,TUMAKURU,2429,2222,6564,54193,36981,24508,115682,91.48
29,TUMAKURU MADHUGIRI,1477,1318,3940,39977,22746,14916,77639,89.23
30,UDUPI,967,873,3337,33142,23323,15598,72063,90.28
31,UTTARA KANNADA,1102,1068,3550,25579,16761,11455,53795,96.91
32,UTTARA KANNADA SIRSI,1278,1081,3194,34064,19728,12340,66132,84.59
33,VIJAYAPURA,2317,311,1183,10876,6165,4778,21819,13.42
34,YADAGIRI,1096,204,710,13256,5176,1577,20009,18.61
