S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1590,7650,109430,62937,34386,206753,94.03
2,BALLARI,1668,1491,8182,112191,61023,31730,204944,89.39
3,BELAGAVI,1780,1622,7962,105445,63225,37291,205961,91.12
4,BELAGAVI CHIKKODI,2253,2029,8820,146926,84147,46600,277673,90.06
5,BENGALURU RURAL,1217,1198,3397,30121,19908,11716,61745,98.44
6,BENGALURU U NORTH,844,719,3342,42412,27828,16456,86696,85.19
7,BENGALURU U SOUTH,1347,976,4760,60545,35613,18706,114864,72.46
8,BIDAR,1769,1074,5100,54129,32759,17451,104339,60.71
9,CHAMARAJANAGARA,934,636,2187,25560,15844,10509,51913,68.09
10,CHIKKABALLAPURA,1664,1444,4069,40121,25095,14942,80158,86.78
11,CHIKKAMAGALURU,1635,1422,4604,36322,21853,14533,72708,86.97
12,CHITRADURGA,2039,1951,6924,78840,44711,27151,150702,95.68
13,DAKSHINA KANNADA,1421,1361,5229,61060,44889,30439,136388,95.78
14,DAVANAGERE,1846,1646,9353,77954,46498,28797,153249,89.17
15,DHARWAD,1076,972,7029,74342,44893,27185,146420,90.33
16,GADAG,887,687,4578,49557,26075,14607,90239,77.45
17,HASSAN,2720,2131,6331,45397,29809,21296,96502,78.35
18,HAVERI,1519,1252,6518,75801,43431,25190,144422,82.42
19,KALABURGI,2179,1008,4631,63392,31231,10269,104892,46.26
20,KODAGU,499,393,1535,11875,8415,6501,26791,78.76
21,KOLAR,2038,1831,5440,48460,30113,18217,96790,89.84
22,KOPPAL,1151,904,4589,79304,41084,20038,140426,78.54
23,MANDYA,2007,1699,5223,47227,31162,22919,101308,84.65
24,MYSURU,2399,1850,6869,80606,49875,30559,161040,77.12
25,RAICHUR,1727,1450,5828,100907,45762,21195,167864,83.96
26,RAMANAGARA,1466,1137,3268,27716,18389,11921,58026,77.56
27,SHIVAMOGGA,2257,1984,6752,63926,38797,26296,129019,87.9
28,TUMAKURU,2429,2053,5940,49236,32131,21284,102651,84.52
29,TUMAKURU MADHUGIRI,1477,1281,3858,38479,22356,14638,75473,86.73
30,UDUPI,967,957,4764,35775,25122,16803,77700,98.97
31,UTTARA KANNADA,1102,981,3052,21193,13442,8303,42938,89.02
32,UTTARA KANNADA SIRSI,1278,1054,3108,32242,19295,12125,63662,82.47
33,VIJAYAPURA,2317,1347,6402,81181,41227,20533,142941,58.14
34,YADAGIRI,1096,716,2670,56522,23274,9090,88886,65.33
