S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1515,7619,109624,62094,33418,205136,89.59
2,BALLARI,1668,1404,6648,104998,57499,26811,189308,84.17
3,BELAGAVI,1780,1626,7112,104932,60741,35839,201512,91.35
4,BELAGAVI CHIKKODI,2253,2005,8627,148603,85741,49114,283458,88.99
5,BENGALURU RURAL,1217,1208,2968,30887,19812,11800,62499,99.26
6,BENGALURU U NORTH,844,564,2275,31758,19331,10460,61549,66.82
7,BENGALURU U SOUTH,1347,37,141,248,642,1135,2025,2.75
8,BIDAR,1769,1110,4733,56812,34264,19994,111070,62.75
9,CHAMARAJANAGARA,934,681,1971,25593,15276,9645,50514,72.91
10,CHIKKABALLAPURA,1664,1439,3678,38295,24205,15509,78009,86.48
11,CHIKKAMAGALURU,1635,1403,3929,32284,19701,14300,66285,85.81
12,CHITRADURGA,2039,1829,5898,74391,42213,25474,142078,89.7
13,DAKSHINA KANNADA,1421,1216,4395,50635,35914,24417,110966,85.57
14,DAVANAGERE,1846,1617,7099,79010,46841,28601,154452,87.59
15,DHARWAD,1076,913,4818,69271,40761,22809,132841,84.85
16,GADAG,887,677,3284,49305,26372,14157,89834,76.32
17,HASSAN,2720,1946,5125,39709,25911,18794,84414,71.54
18,HAVERI,1519,1200,6656,71816,42224,24046,138086,79
19,KALABURGI,2179,1128,4469,73130,35868,12837,121835,51.77
20,KODAGU,499,353,1167,9933,6779,5044,21756,70.74
21,KOLAR,2038,1868,4853,48511,29786,17560,95857,91.66
22,KOPPAL,1151,848,3916,75448,38742,19569,133759,73.68
23,MANDYA,2007,1603,4040,42877,27542,20043,90462,79.87
24,MYSURU,2399,1829,5747,74954,47851,29596,152401,76.24
25,RAICHUR,1727,1452,5601,105816,47901,24116,177833,84.08
26,RAMANAGARA,1466,1152,2864,27224,17685,11045,55954,78.58
27,SHIVAMOGGA,2257,2050,6009,67057,38015,24639,129711,90.83
28,TUMAKURU,2429,2042,5102,49363,31253,22300,102916,84.07
29,TUMAKURU MADHUGIRI,1477,1238,3255,38369,22484,15027,75880,83.82
30,UDUPI,967,863,2941,31855,22006,14412,68273,89.25
31,UTTARA KANNADA,1102,1020,2943,24930,15616,10069,50615,92.56
32,UTTARA KANNADA SIRSI,1278,1080,3072,33742,20064,11436,65242,84.51
33,VIJAYAPURA,2317,1383,6238,85331,44569,24462,154362,59.69
34,YADAGIRI,1096,670,2910,54813,22970,8650,86433,61.13
