S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1580,7706,111248,64388,37008,212644,93.44
2,BALLARI,1668,1518,8322,115317,63313,32022,210652,91.01
3,BELAGAVI,1780,1659,8044,108824,63710,36835,209369,93.2
4,BELAGAVI CHIKKODI,2253,2100,9494,156408,90590,51748,298746,93.21
5,BENGALURU RURAL,1217,1205,3407,30870,21053,13253,65176,99.01
6,BENGALURU U NORTH,844,720,3466,41936,28635,17131,87702,85.31
7,BENGALURU U SOUTH,1347,972,4491,59867,36312,19233,115412,72.16
8,BIDAR,1769,1132,5569,58336,36276,19718,114330,63.99
9,CHAMARAJANAGARA,934,620,2091,25824,16214,10160,52198,66.38
10,CHIKKABALLAPURA,1664,1445,3979,40411,25257,15428,81096,86.84
11,CHIKKAMAGALURU,1635,1471,4747,36728,23094,15788,75610,89.97
12,CHITRADURGA,2039,1985,6891,80862,47164,29476,157502,97.35
13,DAKSHINA KANNADA,1421,1401,6068,63506,46501,32766,142773,98.59
14,DAVANAGERE,1846,1705,8465,83020,49717,30101,162838,92.36
15,DHARWAD,1076,972,6579,75054,45058,26940,147052,90.33
16,GADAG,887,682,3709,49067,27432,15068,91567,76.89
17,HASSAN,2720,2121,6213,45496,28242,19206,92944,77.98
18,HAVERI,1519,1277,6418,78770,46772,26924,152466,84.07
19,KALABURGI,2179,1008,4358,65974,33197,12389,111560,46.26
20,KODAGU,499,363,1389,11403,8058,5860,25321,72.75
21,KOLAR,2038,1801,5320,47161,29784,18229,95174,88.37
22,KOPPAL,1151,905,4477,80052,42344,21408,143804,78.63
23,MANDYA,2007,1744,5249,47871,31761,23842,103474,86.9
24,MYSURU,2399,1845,6866,79656,51001,32216,162873,76.91
25,RAICHUR,1727,1453,5891,103631,47580,22821,174032,84.13
26,RAMANAGARA,1466,1115,3906,27348,17591,11387,56326,76.06
27,SHIVAMOGGA,2257,1907,6479,61581,38021,26596,126198,84.49
28,TUMAKURU,2429,2101,5945,52241,35482,24522,112245,86.5
29,TUMAKURU MADHUGIRI,1477,1275,3750,38640,22531,14713,75884,86.32
30,UDUPI,967,948,3616,37292,25350,16638,79280,98.04
31,UTTARA KANNADA,1102,1024,3917,25173,16423,11130,52726,92.92
32,UTTARA KANNADA SIRSI,1278,1080,3267,36122,20836,12187,69145,84.51
33,VIJAYAPURA,2317,1310,6116,81292,42882,21464,145638,56.54
34,YADAGIRI,1096,672,2456,53099,21638,8062,82799,61.31
