S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1586,9266,112235,66053,36449,214737,93.79
2,BALLARI,1668,1494,7505,114443,62641,31160,208244,89.57
3,BELAGAVI,1780,1627,8087,108960,63958,36319,209237,91.4
4,BELAGAVI CHIKKODI,2253,2090,10638,155512,90066,51277,296855,92.77
5,BENGALURU RURAL,1217,1193,3406,30078,21133,12915,64126,98.03
6,BENGALURU U NORTH,844,703,3446,40963,28209,16983,86155,83.29
7,BENGALURU U SOUTH,1347,925,5466,57291,33418,18114,108823,68.67
8,BIDAR,1769,1083,5336,54590,33990,18874,107454,61.22
9,CHAMARAJANAGARA,934,597,1951,24505,14704,9487,48696,63.92
10,CHIKKABALLAPURA,1664,1434,4065,40408,24933,15922,81263,86.18
11,CHIKKAMAGALURU,1635,1435,5218,36470,21250,14795,72515,87.77
12,CHITRADURGA,2039,1960,6963,79680,45490,29127,154297,96.13
13,DAKSHINA KANNADA,1421,1387,6849,62617,45645,32944,141206,97.61
14,DAVANAGERE,1846,1694,8781,83371,49150,30362,162883,91.77
15,DHARWAD,1076,966,6266,75104,45440,26974,147518,89.78
16,GADAG,887,674,3767,48299,26588,15185,90072,75.99
17,HASSAN,2720,2120,6279,45057,29338,20001,94396,77.94
18,HAVERI,1519,1265,6466,78654,46250,26148,151052,83.28
19,KALABURGI,2179,984,4861,63720,31399,12109,107228,45.16
20,KODAGU,499,374,1446,11288,8219,6484,25991,74.95
21,KOLAR,2038,1794,5402,46826,29150,18353,94329,88.03
22,KOPPAL,1151,896,4499,79891,42120,20252,142263,77.85
23,MANDYA,2007,1649,4995,45752,30213,22332,98297,82.16
24,MYSURU,2399,1804,6909,79167,49066,29786,158019,75.2
25,RAICHUR,1727,1429,5881,104273,47048,22801,174122,82.74
26,RAMANAGARA,1466,1125,3335,27253,17651,11552,56456,76.74
27,SHIVAMOGGA,2257,1996,6684,63743,39082,27030,129855,88.44
28,TUMAKURU,2429,2051,5944,50861,34779,22884,108524,84.44
29,TUMAKURU MADHUGIRI,1477,1269,3641,38395,22548,14502,75445,85.92
30,UDUPI,967,915,3551,34977,23865,16029,74871,94.62
31,UTTARA KANNADA,1102,1014,3281,24382,15520,10318,50220,92.01
32,UTTARA KANNADA SIRSI,1278,1026,3101,34276,19355,11356,64987,80.28
33,VIJAYAPURA,2317,1276,6596,79169,41093,20128,140390,55.07
34,YADAGIRI,1096,683,2528,53908,22611,8387,84906,62.32
