S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,63,172,1942,940,583,3465,3.73
2,BALLARI,1668,79,266,3481,1556,1269,6306,4.74
3,BELAGAVI,1780,30,87,851,356,355,1562,1.69
4,BELAGAVI CHIKKODI,2253,98,172,1771,970,398,3139,4.35
5,BENGALURU RURAL,1217,56,52,497,349,61,907,4.6
6,BENGALURU U NORTH,844,12,75,642,1232,983,2857,1.42
7,BENGALURU U SOUTH,1347,65,217,2499,1810,1033,5342,4.83
8,BIDAR,1769,15,58,777,444,161,1382,0.85
9,CHAMARAJANAGARA,934,19,26,165,111,246,522,2.03
10,CHIKKABALLAPURA,1664,197,116,919,754,764,2437,11.84
11,CHIKKAMAGALURU,1635,70,142,1597,981,229,2807,4.28
12,CHITRADURGA,2039,59,128,1560,783,497,2840,2.89
13,DAKSHINA KANNADA,1421,1278,5369,53713,38104,27235,119052,89.94
14,DAVANAGERE,1846,62,150,1641,853,593,3087,3.36
15,DHARWAD,1076,30,179,1197,1020,1206,3423,2.79
16,GADAG,887,6,26,226,191,131,548,0.68
17,HASSAN,2720,101,189,1124,623,614,2361,3.71
18,HAVERI,1519,37,91,1064,585,314,1963,2.44
19,KALABURGI,2179,19,44,322,180,283,785,0.87
20,KODAGU,499,33,21,137,77,25,239,6.61
21,KOLAR,2038,48,101,1129,455,69,1653,2.36
22,KOPPAL,1151,25,121,1627,1023,890,3540,2.17
23,MANDYA,2007,70,126,992,1117,687,2796,3.49
24,MYSURU,2399,109,186,1486,1119,748,3353,4.54
25,RAICHUR,1727,32,96,1514,783,526,2823,1.85
26,RAMANAGARA,1466,46,92,675,379,285,1339,3.14
27,SHIVAMOGGA,2257,89,176,1162,856,1243,3261,3.94
28,TUMAKURU,2429,79,141,1096,600,537,2233,3.25
29,TUMAKURU MADHUGIRI,1477,55,111,692,400,413,1505,3.72
30,UDUPI,967,922,3550,33913,23534,15007,72454,95.35
31,UTTARA KANNADA,1102,52,55,227,204,373,804,4.72
32,UTTARA KANNADA SIRSI,1278,66,91,488,205,184,877,5.16
33,VIJAYAPURA,2317,33,87,959,480,531,1970,1.42
34,YADAGIRI,1096,22,97,1890,944,621,3455,2.01
