S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1573,9794,110497,63927,35051,209475,93.02
2,BALLARI,1668,1467,8447,111941,60881,30479,203301,87.95
3,BELAGAVI,1780,1594,8018,102989,60778,35974,199741,89.55
4,BELAGAVI CHIKKODI,2253,2053,9428,149846,86737,48450,285033,91.12
5,BENGALURU RURAL,1217,1187,3558,29983,19643,12593,62219,97.53
6,BENGALURU U NORTH,844,692,3462,38553,26054,14295,78902,81.99
7,BENGALURU U SOUTH,1347,931,4442,55384,34129,18033,107546,69.12
8,BIDAR,1769,1059,5446,54697,33891,18266,106854,59.86
9,CHAMARAJANAGARA,934,593,2212,24219,14757,9716,48692,63.49
10,CHIKKABALLAPURA,1664,1418,4296,40834,24455,13930,79219,85.22
11,CHIKKAMAGALURU,1635,1394,4886,36452,20114,14039,70605,85.26
12,CHITRADURGA,2039,1946,7389,81611,46271,28076,155958,95.44
13,DAKSHINA KANNADA,1421,1346,6293,62196,44445,30646,137287,94.72
14,DAVANAGERE,1846,1669,7853,80651,47911,29232,157794,90.41
15,DHARWAD,1076,933,6915,71046,42483,24718,138247,86.71
16,GADAG,887,662,3742,48650,26709,14013,89372,74.63
17,HASSAN,2720,2094,6636,44484,27931,19460,91875,76.99
18,HAVERI,1519,1241,7580,76649,44845,25739,147233,81.7
19,KALABURGI,2179,972,4412,63651,31450,11313,106414,44.61
20,KODAGU,499,350,1379,10162,7050,5317,22529,70.14
21,KOLAR,2038,1751,6041,45011,28487,17770,91268,85.92
22,KOPPAL,1151,888,4540,78588,41303,20685,140576,77.15
23,MANDYA,2007,1682,5531,46149,30698,22207,99054,83.81
24,MYSURU,2399,1806,7032,77228,47781,31027,156036,75.28
25,RAICHUR,1727,1412,6112,101199,44840,20879,166918,81.76
26,RAMANAGARA,1466,1112,3263,27053,17467,11167,55687,75.85
27,SHIVAMOGGA,2257,1953,7417,61750,37956,25221,124927,86.53
28,TUMAKURU,2429,2063,6226,50267,34669,23076,108012,84.93
29,TUMAKURU MADHUGIRI,1477,1261,3909,37081,21934,14535,73550,85.38
30,UDUPI,967,915,4095,34326,22814,15160,72300,94.62
31,UTTARA KANNADA,1102,1006,3313,22837,14382,8716,45935,91.29
32,UTTARA KANNADA SIRSI,1278,1037,3176,32931,18753,10879,62563,81.14
33,VIJAYAPURA,2317,1290,6301,79638,41524,22920,144082,55.68
34,YADAGIRI,1096,654,2441,50823,20533,7529,78885,59.67
