S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1556,7474,109098,59914,32342,201354,92.02
2,BALLARI,1668,1470,7453,110926,58645,28954,198525,88.13
3,BELAGAVI,1780,922,3785,46284,28920,17736,92940,51.8
4,BELAGAVI CHIKKODI,2253,2071,8697,152873,89080,50171,292124,91.92
5,BENGALURU RURAL,1217,1214,3176,30518,20468,12571,63557,99.75
6,BENGALURU U NORTH,844,630,2559,36449,21882,11419,69750,74.64
7,BENGALURU U SOUTH,1347,55,117,339,739,1412,2490,4.08
8,BIDAR,1769,1196,5901,61639,37133,19757,118529,67.61
9,CHAMARAJANAGARA,934,730,2281,29949,17618,10943,58510,78.16
10,CHIKKABALLAPURA,1664,1496,4021,40890,26005,16568,83463,89.9
11,CHIKKAMAGALURU,1635,1461,4145,33815,20284,14870,68969,89.36
12,CHITRADURGA,2039,1882,6350,76291,43147,26590,146028,92.3
13,DAKSHINA KANNADA,1421,1248,4548,52763,36579,23748,113090,87.83
14,DAVANAGERE,1846,1685,6910,81808,48757,30048,160613,91.28
15,DHARWAD,1076,37,182,2331,1147,579,4057,3.44
16,GADAG,887,625,3092,41323,22109,11234,74666,70.46
17,HASSAN,2720,2097,5794,42991,27930,20445,91366,77.1
18,HAVERI,1519,1290,6292,78140,45766,25131,149037,84.92
19,KALABURGI,2179,1154,4710,76214,38207,13560,127981,52.96
20,KODAGU,499,386,1291,11481,7019,4906,23406,77.35
21,KOLAR,2038,1887,5092,48980,30595,18249,97824,92.59
22,KOPPAL,1151,921,4445,79888,41228,21376,142492,80.02
23,MANDYA,2007,1667,4541,45055,29307,21003,95365,83.06
24,MYSURU,2399,1907,6141,77305,48970,29771,156046,79.49
25,RAICHUR,1727,1519,5806,108209,49270,23976,181455,87.96
26,RAMANAGARA,1466,1186,3107,28030,17877,11456,57363,80.9
27,SHIVAMOGGA,2257,2107,6525,67186,40987,27399,135572,93.35
28,TUMAKURU,2429,2176,6011,53099,34185,23462,110746,89.58
29,TUMAKURU MADHUGIRI,1477,1291,3553,41564,22765,14672,79001,87.41
30,UDUPI,967,872,3160,32265,22285,14480,69030,90.18
31,UTTARA KANNADA,1102,1028,3055,25324,15824,10843,51991,93.28
32,UTTARA KANNADA SIRSI,1278,1092,3096,35653,20331,11305,67289,85.45
33,VIJAYAPURA,2317,1439,7980,86762,45002,23054,154818,62.11
34,YADAGIRI,1096,744,2595,60536,25353,8936,94825,67.88
