S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,40,133,886,1025,595,2506,2.37
2,BALLARI,1668,37,136,1317,710,800,2827,2.22
3,BELAGAVI,1780,15,48,237,179,85,501,0.84
4,BELAGAVI CHIKKODI,2253,62,111,1759,872,410,3041,2.75
5,BENGALURU RURAL,1217,26,23,272,169,0,441,2.14
6,BENGALURU U NORTH,844,7,26,220,136,166,522,0.83
7,BENGALURU U SOUTH,1347,25,10,0,65,163,228,1.86
8,BIDAR,1769,29,170,2628,1855,1610,6093,1.64
9,CHAMARAJANAGARA,934,11,14,167,58,0,225,1.18
10,CHIKKABALLAPURA,1664,117,69,248,522,414,1184,7.03
11,CHIKKAMAGALURU,1635,28,45,353,211,79,643,1.71
12,CHITRADURGA,2039,29,108,869,788,894,2551,1.42
13,DAKSHINA KANNADA,1421,15,52,90,208,697,995,1.06
14,DAVANAGERE,1846,46,184,1321,1036,1122,3479,2.49
15,DHARWAD,1076,14,67,594,410,157,1161,1.3
16,GADAG,887,9,38,508,231,135,874,1.01
17,HASSAN,2720,53,139,958,593,445,1996,1.95
18,HAVERI,1519,13,31,341,223,114,678,0.86
19,KALABURGI,2179,18,67,637,480,427,1544,0.83
20,KODAGU,499,13,18,116,32,0,148,2.61
21,KOLAR,2038,29,86,544,566,653,1763,1.42
22,KOPPAL,1151,11,59,616,412,533,1561,0.96
23,MANDYA,2007,59,144,1266,840,566,2672,2.94
24,MYSURU,2399,80,166,1666,1117,1035,3818,3.33
25,RAICHUR,1727,22,102,1226,1028,671,2925,1.27
26,RAMANAGARA,1466,32,84,640,372,264,1276,2.18
27,SHIVAMOGGA,2257,75,299,576,1600,2467,4643,3.32
28,TUMAKURU,2429,45,121,898,687,361,1946,1.85
29,TUMAKURU MADHUGIRI,1477,46,146,1104,926,880,2910,3.11
30,UDUPI,967,11,59,412,438,606,1456,1.14
31,UTTARA KANNADA,1102,23,27,214,257,155,626,2.09
32,UTTARA KANNADA SIRSI,1278,25,47,201,99,0,300,1.96
33,VIJAYAPURA,2317,109,511,5650,2726,1570,9946,4.7
34,YADAGIRI,1096,173,628,11378,3923,1662,16963,15.78
