S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1355,6444,98343,56219,30643,185205,80.13
2,BALLARI,1668,1260,6067,96220,51085,23532,170837,75.54
3,BELAGAVI,1780,1532,7012,99351,57801,32769,189921,86.07
4,BELAGAVI CHIKKODI,2253,1841,8003,134630,77444,44403,256477,81.71
5,BENGALURU RURAL,1217,1145,3039,28495,18656,11654,58805,94.08
6,BENGALURU U NORTH,844,457,2605,26561,16730,7533,50824,54.15
7,BENGALURU U SOUTH,1347,29,82,128,417,782,1327,2.15
8,BIDAR,1769,1007,4562,51701,30245,16980,98926,56.92
9,CHAMARAJANAGARA,934,617,1965,22473,13453,9114,45040,66.06
10,CHIKKABALLAPURA,1664,1244,3368,33765,20680,12356,66801,74.76
11,CHIKKAMAGALURU,1635,1209,3431,28063,17191,11626,56880,73.94
12,CHITRADURGA,2039,1605,5951,62631,36591,23893,123115,78.72
13,DAKSHINA KANNADA,1421,1184,4432,48725,34728,23782,107235,83.32
14,DAVANAGERE,1846,1440,6085,70974,42282,24690,137946,78.01
15,DHARWAD,1076,818,4334,63940,36601,19069,119610,76.02
16,GADAG,887,624,3801,44952,24654,13197,82803,70.35
17,HASSAN,2720,1671,4663,34345,22105,15678,72128,61.43
18,HAVERI,1519,1029,5612,61952,36970,22099,121021,67.74
19,KALABURGI,2179,967,4019,62726,29868,10033,102627,44.38
20,KODAGU,499,320,1089,9106,5948,3824,18878,64.13
21,KOLAR,2038,1715,4705,46721,27516,16067,90304,84.15
22,KOPPAL,1151,743,3555,63550,33920,17197,114667,64.55
23,MANDYA,2007,1417,3915,38195,24013,17866,80074,70.6
24,MYSURU,2399,1616,5414,66864,40114,23330,130308,67.36
25,RAICHUR,1727,1235,5775,87270,39316,19440,146026,71.51
26,RAMANAGARA,1466,1067,2874,26061,15913,9602,51576,72.78
27,SHIVAMOGGA,2257,1891,6040,59513,34545,22339,116397,83.78
28,TUMAKURU,2429,1847,4932,45661,28664,20257,94582,76.04
29,TUMAKURU MADHUGIRI,1477,1075,3028,32591,19046,13095,64732,72.78
30,UDUPI,967,807,2901,30054,20114,12564,62732,83.45
31,UTTARA KANNADA,1102,973,2972,22571,13484,8439,44494,88.29
32,UTTARA KANNADA SIRSI,1278,987,2829,30389,17689,10612,58690,77.23
33,VIJAYAPURA,2317,1207,5415,74883,40187,22458,137528,52.09
34,YADAGIRI,1096,562,2654,44367,18219,7007,69593,51.28
