S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1576,8394,111193,63651,35408,210252,93.2
2,BALLARI,1668,1475,7162,110741,58606,28289,197636,88.43
3,BELAGAVI,1780,1656,7818,103751,60020,34651,198422,93.03
4,BELAGAVI CHIKKODI,2253,2111,9621,154200,88358,50032,292590,93.7
5,BENGALURU RURAL,1217,1216,3300,29829,20039,12094,61962,99.92
6,BENGALURU U NORTH,844,657,2669,36856,22000,11554,70410,77.84
7,BENGALURU U SOUTH,1347,52,81,364,668,1124,2156,3.86
8,BIDAR,1769,1190,5961,61913,37703,19181,118797,67.27
9,CHAMARAJANAGARA,934,733,2274,28328,17567,10495,56390,78.48
10,CHIKKABALLAPURA,1664,1512,4124,40248,25367,17331,82946,90.87
11,CHIKKAMAGALURU,1635,1483,4307,34152,21316,14915,70383,90.7
12,CHITRADURGA,2039,1919,6345,77687,43863,26953,148503,94.11
13,DAKSHINA KANNADA,1421,1241,4477,51487,35829,23581,110897,87.33
14,DAVANAGERE,1846,1719,7113,84638,48908,29297,162843,93.12
15,DHARWAD,1076,952,5857,72536,42239,24944,139719,88.48
16,GADAG,887,710,4051,50567,27974,15133,93674,80.05
17,HASSAN,2720,2180,5970,45423,28247,20581,94251,80.15
18,HAVERI,1519,1312,7164,78314,45425,26021,149760,86.37
19,KALABURGI,2179,1183,5103,76312,38036,13402,127750,54.29
20,KODAGU,499,401,1368,10521,7019,5018,22558,80.36
21,KOLAR,2038,1876,5146,48054,29033,17057,94144,92.05
22,KOPPAL,1151,929,4370,80478,41812,21043,143333,80.71
23,MANDYA,2007,1745,4727,46245,29998,22325,98568,86.95
24,MYSURU,2399,1949,6364,78820,49351,30359,158530,81.24
25,RAICHUR,1727,1521,6346,107430,48636,22550,178616,88.07
26,RAMANAGARA,1466,1212,3207,28817,18132,11342,58291,82.67
27,SHIVAMOGGA,2257,2010,5891,55646,34036,23703,113385,89.06
28,TUMAKURU,2429,2200,5980,52790,33938,23566,110294,90.57
29,TUMAKURU MADHUGIRI,1477,1325,3695,39164,22647,14588,76399,89.71
30,UDUPI,967,881,3540,32084,22247,14495,68826,91.11
31,UTTARA KANNADA,1102,1042,3124,24494,15672,10726,50892,94.56
32,UTTARA KANNADA SIRSI,1278,1088,3008,32595,19324,10232,62151,85.13
33,VIJAYAPURA,2317,1390,7476,84560,43604,22645,150809,59.99
34,YADAGIRI,1096,747,3077,59078,24663,9013,92754,68.16
