S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1622,8260,115312,66878,36869,219059,95.92
2,BALLARI,1668,1499,7323,116538,63508,31808,211854,89.87
3,BELAGAVI,1780,1656,8110,110229,64903,37284,212416,93.03
4,BELAGAVI CHIKKODI,2253,2095,9213,156394,90087,50891,297372,92.99
5,BENGALURU RURAL,1217,1201,3528,30492,20387,12057,62936,98.69
6,BENGALURU U NORTH,844,713,3709,43675,29300,16151,89126,84.48
7,BENGALURU U SOUTH,1347,961,4298,57519,35479,18716,111714,71.34
8,BIDAR,1769,1152,5447,58520,35931,19875,114326,65.12
9,CHAMARAJANAGARA,934,670,2292,27861,17052,11265,56178,71.73
10,CHIKKABALLAPURA,1664,1479,4127,41181,26566,17246,84993,88.88
11,CHIKKAMAGALURU,1635,1511,4520,36433,22705,16204,75342,92.42
12,CHITRADURGA,2039,1898,6707,76951,44680,28545,150176,93.08
13,DAKSHINA KANNADA,1421,1404,5872,65182,47115,32313,144610,98.8
14,DAVANAGERE,1846,1682,7405,80169,48259,28636,157064,91.12
15,DHARWAD,1076,1006,6432,77313,46471,28384,152168,93.49
16,GADAG,887,709,3856,51723,28358,15180,95261,79.93
17,HASSAN,2720,2134,6226,45509,29802,21555,96866,78.46
18,HAVERI,1519,1284,6457,79039,45951,25938,150928,84.53
19,KALABURGI,2179,1059,5279,68814,34351,12680,115845,48.6
20,KODAGU,499,386,1382,12234,8483,6455,27172,77.35
21,KOLAR,2038,1918,5683,50470,32213,19237,101920,94.11
22,KOPPAL,1151,919,4393,80551,42595,21207,144353,79.84
23,MANDYA,2007,1727,4805,48038,31488,23721,103247,86.05
24,MYSURU,2399,1894,7083,82148,51755,32254,166157,78.95
25,RAICHUR,1727,1511,6178,107251,48934,23346,179531,87.49
26,RAMANAGARA,1466,1168,3097,28328,18425,11674,58427,79.67
27,SHIVAMOGGA,2257,2011,6457,65214,37716,23219,126149,89.1
28,TUMAKURU,2429,2164,6189,53030,35977,24095,113102,89.09
29,TUMAKURU MADHUGIRI,1477,1280,3641,38739,22805,13982,75526,86.66
30,UDUPI,967,946,3523,36130,25059,17288,78477,97.83
31,UTTARA KANNADA,1102,830,2737,19811,13159,8753,41723,75.32
32,UTTARA KANNADA SIRSI,1278,1051,3318,33391,19290,11208,63889,82.24
33,VIJAYAPURA,2317,1396,6646,86516,45158,23624,155298,60.25
34,YADAGIRI,1096,769,2775,61449,26287,9903,97639,70.16
