S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,34,127,889,841,915,2645,2.01
2,BALLARI,1668,41,154,1145,559,729,2433,2.46
3,BELAGAVI,1780,26,81,550,458,594,1602,1.46
4,BELAGAVI CHIKKODI,2253,72,160,1575,1355,1517,4447,3.2
5,BENGALURU RURAL,1217,31,30,197,210,241,648,2.55
6,BENGALURU U NORTH,844,9,660,572,384,171,1127,1.07
7,BENGALURU U SOUTH,1347,39,111,1423,939,564,2926,2.9
8,BIDAR,1769,24,145,1611,1191,1442,4244,1.36
9,CHAMARAJANAGARA,934,10,21,237,354,142,733,1.07
10,CHIKKABALLAPURA,1664,197,127,1238,1003,0,2241,11.84
11,CHIKKAMAGALURU,1635,43,76,809,326,80,1215,2.63
12,CHITRADURGA,2039,34,92,686,576,680,1942,1.67
13,DAKSHINA KANNADA,1421,17,31,620,435,59,1114,1.2
14,DAVANAGERE,1846,41,89,1053,378,130,1561,2.22
15,DHARWAD,1076,12,92,319,472,555,1346,1.12
16,GADAG,887,11,53,551,396,286,1233,1.24
17,HASSAN,2720,45,88,547,459,312,1318,1.65
18,HAVERI,1519,24,46,751,373,0,1124,1.58
19,KALABURGI,2179,20,54,963,401,126,1490,0.92
20,KODAGU,499,26,4,24,13,0,37,5.21
21,KOLAR,2038,32,68,853,490,85,1428,1.57
22,KOPPAL,1151,17,90,1996,834,157,2987,1.48
23,MANDYA,2007,48,87,785,401,370,1556,2.39
24,MYSURU,2399,66,114,364,414,774,1552,2.75
25,RAICHUR,1727,18,48,1253,631,141,2025,1.04
26,RAMANAGARA,1466,21,34,196,62,80,338,1.43
27,SHIVAMOGGA,2257,79,358,676,1137,2036,3849,3.5
28,TUMAKURU,2429,258,666,5233,2281,633,8147,10.62
29,TUMAKURU MADHUGIRI,1477,49,98,889,441,199,1529,3.32
30,UDUPI,967,17,53,535,300,211,1046,1.76
31,UTTARA KANNADA,1102,38,44,243,281,209,733,3.45
32,UTTARA KANNADA SIRSI,1278,30,42,85,111,190,386,2.35
33,VIJAYAPURA,2317,31,115,1387,826,681,2894,1.34
34,YADAGIRI,1096,10,348,660,225,107,992,0.91
