S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1577,7575,111183,64131,34077,209391,93.26
2,BALLARI,1668,1501,7419,114990,61772,30666,207428,89.99
3,BELAGAVI,1780,1608,7812,106053,62393,36411,204857,90.34
4,BELAGAVI CHIKKODI,2253,2040,9430,152261,88296,49142,289699,90.55
5,BENGALURU RURAL,1217,1199,3492,30592,20350,12385,63327,98.52
6,BENGALURU U NORTH,844,720,3299,43751,28759,16221,88731,85.31
7,BENGALURU U SOUTH,1347,971,4192,59358,35835,19554,114747,72.09
8,BIDAR,1769,1124,6076,55983,35348,19633,110964,63.54
9,CHAMARAJANAGARA,934,645,2129,26061,16341,10820,53222,69.06
10,CHIKKABALLAPURA,1664,1434,4077,39559,24698,15934,80191,86.18
11,CHIKKAMAGALURU,1635,1424,4287,35098,21518,15429,72045,87.09
12,CHITRADURGA,2039,1905,7831,75997,43783,27731,147511,93.43
13,DAKSHINA KANNADA,1421,1343,5445,61666,44898,31275,137839,94.51
14,DAVANAGERE,1846,1556,6557,73800,43287,26430,143517,84.29
15,DHARWAD,1076,971,5754,75055,44754,27393,147202,90.24
16,GADAG,887,699,4693,49629,27522,16193,93344,78.8
17,HASSAN,2720,2111,6282,45255,29657,21156,96068,77.61
18,HAVERI,1519,1230,6629,75170,43619,24123,142912,80.97
19,KALABURGI,2179,1038,4700,69426,33090,11427,113943,47.64
20,KODAGU,499,378,1446,11966,8289,5716,25971,75.75
21,KOLAR,2038,1818,5455,48392,30051,18430,96873,89.21
22,KOPPAL,1151,903,4341,80170,41628,20199,141997,78.45
23,MANDYA,2007,1711,5266,48826,31765,23305,103896,85.25
24,MYSURU,2399,1851,6514,79651,50742,30492,160885,77.16
25,RAICHUR,1727,1423,5416,97978,45706,21907,165591,82.4
26,RAMANAGARA,1466,1158,3183,28435,18328,11469,58232,78.99
27,SHIVAMOGGA,2257,1977,6660,64252,39307,27726,131285,87.59
28,TUMAKURU,2429,2049,5815,51327,34666,23200,109193,84.36
29,TUMAKURU MADHUGIRI,1477,1267,3675,38463,22671,14716,75850,85.78
30,UDUPI,967,949,3685,36267,25223,16714,78204,98.14
31,UTTARA KANNADA,1102,1008,3716,23016,14548,9406,46970,91.47
32,UTTARA KANNADA SIRSI,1278,1025,3020,32248,18323,10437,61008,80.2
33,VIJAYAPURA,2317,1352,6273,82637,43683,22532,148852,58.35
34,YADAGIRI,1096,696,2461,54472,22904,7491,84867,63.5
