S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,41,65,271,257,92,620,2.42
2,BALLARI,1668,23,83,798,581,109,1488,1.38
3,BELAGAVI,1780,9,44,312,137,0,449,0.51
4,BELAGAVI CHIKKODI,2253,61,39,161,133,182,476,2.71
5,BENGALURU RURAL,1217,33,32,66,146,262,474,2.71
6,BENGALURU U NORTH,844,4,6,155,34,0,189,0.47
7,BENGALURU U SOUTH,1347,23,10,0,65,163,228,1.71
8,BIDAR,1769,5,19,194,51,46,291,0.28
9,CHAMARAJANAGARA,934,11,10,77,38,0,115,1.18
10,CHIKKABALLAPURA,1664,113,42,88,35,132,255,6.79
11,CHIKKAMAGALURU,1635,26,26,86,71,29,186,1.59
12,CHITRADURGA,2039,28,26,192,121,62,375,1.37
13,DAKSHINA KANNADA,1421,19,26,332,171,105,608,1.34
14,DAVANAGERE,1846,28,63,204,162,420,786,1.52
15,DHARWAD,1076,8,60,436,477,356,1269,0.74
16,GADAG,887,6,21,268,118,160,546,0.68
17,HASSAN,2720,29,45,149,156,160,465,1.07
18,HAVERI,1519,9,12,0,30,71,101,0.59
19,KALABURGI,2179,15,33,430,224,0,654,0.69
20,KODAGU,499,12,5,65,34,0,99,2.4
21,KOLAR,2038,15,22,189,114,0,303,0.74
22,KOPPAL,1151,7,30,296,170,120,586,0.61
23,MANDYA,2007,22,22,193,330,0,523,1.1
24,MYSURU,2399,62,48,334,207,51,592,2.58
25,RAICHUR,1727,9,28,441,171,226,838,0.52
26,RAMANAGARA,1466,13,21,256,130,0,386,0.89
27,SHIVAMOGGA,2257,44,68,207,242,401,850,1.95
28,TUMAKURU,2429,21,12,87,37,57,181,0.86
29,TUMAKURU MADHUGIRI,1477,27,37,368,224,119,711,1.83
30,UDUPI,967,4,11,107,76,0,183,0.41
31,UTTARA KANNADA,1102,28,6,27,18,0,45,2.54
32,UTTARA KANNADA SIRSI,1278,25,44,91,103,117,311,1.96
33,VIJAYAPURA,2317,17,23,33,113,386,532,0.73
34,YADAGIRI,1096,4,10,210,33,0,243,0.36
