S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1592,8370,112385,65413,35739,213537,94.15
2,BALLARI,1668,1508,8055,116478,63675,31690,211843,90.41
3,BELAGAVI,1780,1613,7587,104889,62789,36746,204424,90.62
4,BELAGAVI CHIKKODI,2253,2055,8523,152385,87381,49683,289449,91.21
5,BENGALURU RURAL,1217,1211,3401,30718,20709,12641,64068,99.51
6,BENGALURU U NORTH,844,687,3282,39591,27587,15865,83043,81.4
7,BENGALURU U SOUTH,1347,952,4058,57718,35817,20942,114477,70.68
8,BIDAR,1769,1102,5082,56442,34766,17944,109152,62.3
9,CHAMARAJANAGARA,934,636,2112,25931,16362,11222,53515,68.09
10,CHIKKABALLAPURA,1664,1487,4164,41685,25957,17236,84878,89.36
11,CHIKKAMAGALURU,1635,1502,4518,37306,22446,15206,74958,91.87
12,CHITRADURGA,2039,1952,6763,79035,45328,28608,152971,95.73
13,DAKSHINA KANNADA,1421,1365,5419,61753,45632,32652,140037,96.06
14,DAVANAGERE,1846,1656,7472,80113,48193,29028,157334,89.71
15,DHARWAD,1076,972,6372,75356,45552,27562,148470,90.33
16,GADAG,887,708,4639,51194,28065,15479,94738,79.82
17,HASSAN,2720,2124,6182,46251,29523,21067,96841,78.09
18,HAVERI,1519,1263,6939,76777,44846,25649,147272,83.15
19,KALABURGI,2179,1045,4335,68421,34066,12252,114739,47.96
20,KODAGU,499,392,1450,12924,8161,5728,26813,78.56
21,KOLAR,2038,1866,5730,48694,31261,18797,98752,91.56
22,KOPPAL,1151,914,4478,80075,42747,20368,143190,79.41
23,MANDYA,2007,1713,4764,48200,31143,22790,102133,85.35
24,MYSURU,2399,1851,6729,80414,51303,30492,162209,77.16
25,RAICHUR,1727,1477,5704,102826,47050,21842,171718,85.52
26,RAMANAGARA,1466,1151,3119,28302,18745,11601,58648,78.51
27,SHIVAMOGGA,2257,1986,6854,63608,37996,25840,127444,87.99
28,TUMAKURU,2429,2109,6017,51829,34091,22901,108821,86.83
29,TUMAKURU MADHUGIRI,1477,1285,3652,38538,23043,14982,76563,87
30,UDUPI,967,961,3568,36481,25399,16921,78801,99.38
31,UTTARA KANNADA,1102,1025,3267,24956,16373,11015,52344,93.01
32,UTTARA KANNADA SIRSI,1278,1067,3194,34702,20194,11208,66104,83.49
33,VIJAYAPURA,2317,1360,6271,83722,43094,22868,149684,58.7
34,YADAGIRI,1096,746,2658,59556,24763,9494,93813,68.07
