S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1578,7710,114138,65422,35101,214661,93.32
2,BALLARI,1668,1454,7172,111862,60244,30346,202452,87.17
3,BELAGAVI,1780,1607,7753,103847,60529,34466,198842,90.28
4,BELAGAVI CHIKKODI,2253,2065,9338,152301,87522,49547,289370,91.66
5,BENGALURU RURAL,1217,1217,3484,31007,20177,12735,63919,100
6,BENGALURU U NORTH,844,626,2878,32826,21704,12641,67171,74.17
7,BENGALURU U SOUTH,1347,64,142,1326,1176,1426,3928,4.75
8,BIDAR,1769,1163,5497,59543,36472,19557,115572,65.74
9,CHAMARAJANAGARA,934,703,2473,28418,16928,9854,55200,75.27
10,CHIKKABALLAPURA,1664,1472,4253,40366,24819,16414,81599,88.46
11,CHIKKAMAGALURU,1635,1446,4335,34863,20593,15339,70795,88.44
12,CHITRADURGA,2039,1887,6646,77435,44175,26783,148393,92.55
13,DAKSHINA KANNADA,1421,1334,5478,61744,43737,30360,135841,93.88
14,DAVANAGERE,1846,1680,7385,81553,48549,28947,159049,91.01
15,DHARWAD,1076,940,6870,71547,42586,24073,138206,87.36
16,GADAG,887,681,3690,48455,27150,15120,90725,76.78
17,HASSAN,2720,2116,6213,45084,29100,20388,94572,77.79
18,HAVERI,1519,1274,6617,78399,46221,25521,150141,83.87
19,KALABURGI,2179,1093,4552,72233,35053,12895,120181,50.16
20,KODAGU,499,378,1430,10131,7215,5887,23233,75.75
21,KOLAR,2038,1878,5502,49568,30337,17944,97849,92.15
22,KOPPAL,1151,901,4169,79052,40178,19749,138979,78.28
23,MANDYA,2007,1683,4705,46203,28360,20546,95109,83.86
24,MYSURU,2399,1891,6274,77851,48441,29497,155789,78.82
25,RAICHUR,1727,1494,6218,106182,47708,21863,175753,86.51
26,RAMANAGARA,1466,1191,3198,29351,18603,10675,58629,81.24
27,SHIVAMOGGA,2257,2108,6935,65960,39382,25003,130345,93.4
28,TUMAKURU,2429,2113,5953,51039,32955,22586,106580,86.99
29,TUMAKURU MADHUGIRI,1477,1292,3787,39260,22552,13847,75659,87.47
30,UDUPI,967,920,3693,35158,23754,15319,74231,95.14
31,UTTARA KANNADA,1102,1045,3336,24536,14916,9126,48578,94.83
32,UTTARA KANNADA SIRSI,1278,1078,3218,34664,20520,11420,66604,84.35
33,VIJAYAPURA,2317,1235,5876,76023,37800,18652,132475,53.3
34,YADAGIRI,1096,754,2709,58630,23936,9188,91754,68.8
