S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1599,7938,111943,65494,37174,214611,94.56
2,BALLARI,1668,1493,7890,114842,61873,29523,206238,89.51
3,BELAGAVI,1780,1656,8126,108126,64723,37073,209922,93.03
4,BELAGAVI CHIKKODI,2253,2102,10668,156271,90681,51693,298645,93.3
5,BENGALURU RURAL,1217,1210,3426,31117,21272,12873,65262,99.42
6,BENGALURU U NORTH,844,721,3465,42063,28564,17101,87728,85.43
7,BENGALURU U SOUTH,1347,982,5018,61024,36744,19060,116828,72.9
8,BIDAR,1769,1108,6088,56753,34578,18817,110148,62.63
9,CHAMARAJANAGARA,934,607,2017,25820,16153,10613,52586,64.99
10,CHIKKABALLAPURA,1664,1435,4034,40467,25105,14997,80569,86.24
11,CHIKKAMAGALURU,1635,1477,4795,37126,22723,16480,76329,90.34
12,CHITRADURGA,2039,1981,7497,81060,46744,29346,157150,97.16
13,DAKSHINA KANNADA,1421,1375,5912,63987,45301,31630,140918,96.76
14,DAVANAGERE,1846,1741,7652,83838,50595,31015,165448,94.31
15,DHARWAD,1076,987,5894,76227,46032,27149,149408,91.73
16,GADAG,887,685,3799,49970,26899,14870,91739,77.23
17,HASSAN,2720,2111,6019,43864,27550,19691,91105,77.61
18,HAVERI,1519,1283,6374,80737,47765,26555,155057,84.46
19,KALABURGI,2179,1019,5281,66442,33012,11958,111412,46.76
20,KODAGU,499,371,1410,11029,7769,5832,24630,74.35
21,KOLAR,2038,1860,5769,49831,31411,19016,100258,91.27
22,KOPPAL,1151,908,4510,79930,41936,21697,143563,78.89
23,MANDYA,2007,1741,5219,48589,32238,23709,104536,86.75
24,MYSURU,2399,1883,7136,82283,51314,33314,166911,78.49
25,RAICHUR,1727,1456,5945,104342,48510,22636,175488,84.31
26,RAMANAGARA,1466,1154,3314,28139,18501,11613,58253,78.72
27,SHIVAMOGGA,2257,2018,6897,65913,39285,26091,131289,89.41
28,TUMAKURU,2429,2109,6050,52923,35193,23712,111828,86.83
29,TUMAKURU MADHUGIRI,1477,1283,3757,39329,22523,14734,76586,86.87
30,UDUPI,967,925,3481,34624,24293,16536,75453,95.66
31,UTTARA KANNADA,1102,1055,3524,26742,16750,11170,54662,95.74
32,UTTARA KANNADA SIRSI,1278,1074,3566,34724,20687,12526,67937,84.04
33,VIJAYAPURA,2317,1343,7210,83543,44001,22934,150478,57.96
34,YADAGIRI,1096,688,2511,55887,23441,8287,87615,62.77
