S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1573,7738,109618,63718,35851,209187,93.02
2,BALLARI,1668,1483,8441,114252,61487,31039,206778,88.91
3,BELAGAVI,1780,1588,7723,103655,60456,35475,199586,89.21
4,BELAGAVI CHIKKODI,2253,2039,9124,152383,87851,49582,289816,90.5
5,BENGALURU RURAL,1217,976,2941,23586,16208,10513,50307,80.2
6,BENGALURU U NORTH,844,699,3206,38458,25308,14735,78501,82.82
7,BENGALURU U SOUTH,1347,952,4121,56494,33999,18166,108659,70.68
8,BIDAR,1769,1047,5291,53870,32754,18784,105408,59.19
9,CHAMARAJANAGARA,934,603,1980,24478,14814,9476,48768,64.56
10,CHIKKABALLAPURA,1664,1321,3672,35974,22738,14288,73000,79.39
11,CHIKKAMAGALURU,1635,1416,5329,34893,20657,15314,70864,86.61
12,CHITRADURGA,2039,1967,6925,78468,45493,28759,152720,96.47
13,DAKSHINA KANNADA,1421,87,246,2519,1812,1221,5552,6.12
14,DAVANAGERE,1846,1643,7029,77178,46011,28911,152100,89
15,DHARWAD,1076,940,6287,70864,43437,25435,139736,87.36
16,GADAG,887,673,3663,48864,27021,14983,90868,75.87
17,HASSAN,2720,2077,6249,43015,27547,19636,90198,76.36
18,HAVERI,1519,1177,6745,72341,41425,23678,137444,77.49
19,KALABURGI,2179,958,4823,63188,32129,11189,106506,43.97
20,KODAGU,499,360,1276,10194,6961,4909,22064,72.14
21,KOLAR,2038,1821,5364,47389,28705,18214,94308,89.35
22,KOPPAL,1151,887,4468,77996,41154,22242,141392,77.06
23,MANDYA,2007,1711,5173,46950,30570,22301,99821,85.25
24,MYSURU,2399,1806,6770,76289,48620,29752,154661,75.28
25,RAICHUR,1727,1395,5749,99528,45081,21782,166391,80.78
26,RAMANAGARA,1466,1120,3106,27789,17609,10640,56038,76.4
27,SHIVAMOGGA,2257,1986,6690,62953,36744,23708,123405,87.99
28,TUMAKURU,2429,2039,5639,48601,33013,22812,104426,83.94
29,TUMAKURU MADHUGIRI,1477,1282,3736,39085,22925,14352,76362,86.8
30,UDUPI,967,41,188,1200,1110,1310,3620,4.24
31,UTTARA KANNADA,1102,1015,3139,23540,15635,10875,50050,92.11
32,UTTARA KANNADA SIRSI,1278,1067,3117,33323,19324,11848,64495,83.49
33,VIJAYAPURA,2317,1213,6300,75339,39332,21329,136000,52.35
34,YADAGIRI,1096,657,2456,54636,22499,8126,85261,59.95
