S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1535,6911,109970,62158,33242,205370,90.77
2,BALLARI,1668,1448,8131,109120,57437,26824,193381,86.81
3,BELAGAVI,1780,1638,7291,104724,60700,35226,200650,92.02
4,BELAGAVI CHIKKODI,2253,2063,8618,152548,87632,50652,290832,91.57
5,BENGALURU RURAL,1217,1193,2964,28794,19435,12162,60391,98.03
6,BENGALURU U NORTH,844,583,2314,33813,20293,11514,65620,69.08
7,BENGALURU U SOUTH,1347,48,126,145,823,1671,2639,3.56
8,BIDAR,1769,1147,4936,59935,35784,19322,115041,64.84
9,CHAMARAJANAGARA,934,705,2110,27112,16339,10001,53452,75.48
10,CHIKKABALLAPURA,1664,1474,3860,39965,24874,15669,80508,88.58
11,CHIKKAMAGALURU,1635,1450,4110,34334,20292,14486,69112,88.69
12,CHITRADURGA,2039,1860,5991,76572,43578,27075,147225,91.22
13,DAKSHINA KANNADA,1421,1232,5063,51565,36476,24056,112097,86.7
14,DAVANAGERE,1846,1660,6703,80967,48181,29013,158161,89.92
15,DHARWAD,1076,949,5062,71725,42011,23877,137613,88.2
16,GADAG,887,674,3490,47775,25836,14201,87812,75.99
17,HASSAN,2720,2012,5526,42595,26699,19417,88711,73.97
18,HAVERI,1519,1268,6071,78897,45124,24148,148169,83.48
19,KALABURGI,2179,1011,4033,63175,29748,10863,103786,46.4
20,KODAGU,499,379,1263,10516,7113,5276,22905,75.95
21,KOLAR,2038,1865,4987,48293,29212,18066,95571,91.51
22,KOPPAL,1151,880,4112,75821,39608,20406,135835,76.46
23,MANDYA,2007,1634,4645,45307,29029,20608,94944,81.42
24,MYSURU,2399,1901,6155,78396,49714,30564,158674,79.24
25,RAICHUR,1727,1502,5416,107263,48468,24540,180271,86.97
26,RAMANAGARA,1466,1171,3108,28168,17886,11440,57494,79.88
27,SHIVAMOGGA,2257,2087,6542,67111,38240,23760,129111,92.47
28,TUMAKURU,2429,2112,5528,51854,33450,21947,107251,86.95
29,TUMAKURU MADHUGIRI,1477,1260,3352,38790,22167,13895,74852,85.31
30,UDUPI,967,872,3057,33260,22122,14093,69475,90.18
31,UTTARA KANNADA,1102,1035,3045,26071,15857,10930,52858,93.92
32,UTTARA KANNADA SIRSI,1278,1096,3130,34694,20509,11487,66690,85.76
33,VIJAYAPURA,2317,1451,6216,88680,46213,25114,160007,62.62
34,YADAGIRI,1096,702,3605,55896,22704,8798,87398,64.05
