S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1576,7706,110937,65084,36401,212422,93.2
2,BALLARI,1668,1492,7780,114981,62879,31603,209463,89.45
3,BELAGAVI,1780,1605,7923,104740,61990,37224,203954,90.17
4,BELAGAVI CHIKKODI,2253,2073,8784,153571,89163,50560,293294,92.01
5,BENGALURU RURAL,1217,1193,3369,30688,20174,12169,63031,98.03
6,BENGALURU U NORTH,844,702,3085,42772,27857,15343,85972,83.18
7,BENGALURU U SOUTH,1347,961,4145,57636,35274,20320,113230,71.34
8,BIDAR,1769,1155,5520,58652,36169,19791,114612,65.29
9,CHAMARAJANAGARA,934,646,2072,25905,16022,10660,52587,69.16
10,CHIKKABALLAPURA,1664,1475,4079,41895,25730,15545,83170,88.64
11,CHIKKAMAGALURU,1635,1461,4427,35266,22035,15856,73157,89.36
12,CHITRADURGA,2039,1889,6657,75618,43720,27844,147182,92.64
13,DAKSHINA KANNADA,1421,1355,5462,61638,45454,32024,139116,95.36
14,DAVANAGERE,1846,1638,7092,79699,47247,28489,155435,88.73
15,DHARWAD,1076,980,6286,75543,45264,28029,148836,91.08
16,GADAG,887,687,3780,49221,27655,15050,91926,77.45
17,HASSAN,2720,2118,6227,45216,30038,21707,96961,77.87
18,HAVERI,1519,1259,6906,75917,45072,27039,148028,82.88
19,KALABURGI,2179,1059,4571,70283,34768,12453,117504,48.6
20,KODAGU,499,396,1465,12361,8755,6273,27389,79.36
21,KOLAR,2038,1864,5564,50311,31128,18384,99823,91.46
22,KOPPAL,1151,914,4316,80502,43197,21441,145140,79.41
23,MANDYA,2007,1708,5172,48581,31278,23502,103361,85.1
24,MYSURU,2399,1849,6572,80777,52195,30806,163778,77.07
25,RAICHUR,1727,1448,5429,99500,45105,21326,165931,83.84
26,RAMANAGARA,1466,1143,3141,28347,18351,11016,57714,77.97
27,SHIVAMOGGA,2257,1981,7455,63220,39006,28222,130448,87.77
28,TUMAKURU,2429,2128,6065,52975,36471,23710,113156,87.61
29,TUMAKURU MADHUGIRI,1477,1285,3648,39114,22814,15031,76959,87
30,UDUPI,967,959,3700,36746,25181,16997,78924,99.17
31,UTTARA KANNADA,1102,1030,3291,24905,16158,10807,51870,93.47
32,UTTARA KANNADA SIRSI,1278,1055,3857,34162,19889,11680,65731,82.55
33,VIJAYAPURA,2317,1380,6452,85804,45468,23445,154717,59.56
34,YADAGIRI,1096,743,2968,58560,24591,9283,92434,67.79
