S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1626,8716,116723,68070,37132,221925,96.16
2,BALLARI,1668,1536,7582,118462,64587,32684,215733,92.09
3,BELAGAVI,1780,1690,8597,110541,65076,37837,213454,94.94
4,BELAGAVI CHIKKODI,2253,2130,9317,159019,92238,51954,303211,94.54
5,BENGALURU RURAL,1217,1217,3400,31874,20821,13081,65776,100
6,BENGALURU U NORTH,844,732,3594,45346,29479,16453,91278,86.73
7,BENGALURU U SOUTH,1347,962,4137,57860,35763,19511,113134,71.42
8,BIDAR,1769,1230,5658,63769,37810,20682,122261,69.53
9,CHAMARAJANAGARA,934,735,2720,29905,18515,11427,59847,78.69
10,CHIKKABALLAPURA,1664,1528,4238,41357,25363,15909,82629,91.83
11,CHIKKAMAGALURU,1635,1504,4577,36720,22732,16749,76201,91.99
12,CHITRADURGA,2039,1825,6260,71379,43801,28772,143952,89.5
13,DAKSHINA KANNADA,1421,1381,5641,63509,46308,33059,142876,97.19
14,DAVANAGERE,1846,1736,8308,85637,51032,30431,167100,94.04
15,DHARWAD,1076,1020,6102,79158,46945,28354,154457,94.8
16,GADAG,887,729,4020,53078,28837,15848,97763,82.19
17,HASSAN,2720,2222,6547,48712,31712,23033,103457,81.69
18,HAVERI,1519,1349,6734,84548,49230,28333,162111,88.81
19,KALABURGI,2179,1150,4876,75854,37963,13687,127504,52.78
20,KODAGU,499,153,648,2277,3610,6559,12446,30.66
21,KOLAR,2038,1939,5517,51273,32296,19987,103556,95.14
22,KOPPAL,1151,940,4945,81064,42258,20736,144058,81.67
23,MANDYA,2007,1793,5086,50657,31844,23675,106176,89.34
24,MYSURU,2399,1975,6944,85535,54421,32804,172760,82.33
25,RAICHUR,1727,1541,6354,109590,49931,24877,184398,89.23
26,RAMANAGARA,1466,1253,3371,31955,19484,12277,63716,85.47
27,SHIVAMOGGA,2257,2150,6998,70784,42638,28480,141902,95.26
28,TUMAKURU,2429,2223,6303,54674,35478,24766,114918,91.52
29,TUMAKURU MADHUGIRI,1477,1334,4232,41288,23331,14928,79547,90.32
30,UDUPI,967,948,3617,36056,24996,16726,77778,98.04
31,UTTARA KANNADA,1102,1075,4206,27945,17518,11726,57189,97.55
32,UTTARA KANNADA SIRSI,1278,1121,3378,37848,21717,12646,72211,87.72
33,VIJAYAPURA,2317,1505,7086,92614,49925,25275,167814,64.95
34,YADAGIRI,1096,764,3896,60389,25579,10269,96237,69.71
