S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,59,204,2368,1365,855,4588,3.49
2,BALLARI,1668,49,210,3156,1366,539,5061,2.94
3,BELAGAVI,1780,44,217,2233,1348,1432,5013,2.47
4,BELAGAVI CHIKKODI,2253,93,269,3367,2573,2281,8221,4.13
5,BENGALURU RURAL,1217,55,107,829,509,653,1991,4.52
6,BENGALURU U NORTH,844,20,160,1274,992,751,3017,2.37
7,BENGALURU U SOUTH,1347,48,125,1346,827,976,3149,3.56
8,BIDAR,1769,51,302,3743,2681,2109,8533,2.88
9,CHAMARAJANAGARA,934,20,54,966,382,103,1451,2.14
10,CHIKKABALLAPURA,1664,139,97,973,399,354,1726,8.35
11,CHIKKAMAGALURU,1635,58,130,1214,529,42,1785,3.55
12,CHITRADURGA,2039,63,195,1723,1151,1016,3890,3.09
13,DAKSHINA KANNADA,1421,30,87,1001,639,750,2390,2.11
14,DAVANAGERE,1846,65,246,2319,1415,1348,5082,3.52
15,DHARWAD,1076,40,216,2399,1892,1616,5907,3.72
16,GADAG,887,14,79,902,541,261,1704,1.58
17,HASSAN,2720,92,251,1441,1100,1080,3621,3.38
18,HAVERI,1519,37,145,1265,1187,1303,3755,2.44
19,KALABURGI,2179,31,152,1958,1179,765,3902,1.42
20,KODAGU,499,27,29,230,86,0,316,5.41
21,KOLAR,2038,58,149,1470,851,170,2491,2.85
22,KOPPAL,1151,34,164,2459,1346,894,4699,2.95
23,MANDYA,2007,70,199,1436,1214,939,3589,3.49
24,MYSURU,2399,97,245,2076,1449,1144,4669,4.04
25,RAICHUR,1727,40,156,2518,1308,858,4684,2.32
26,RAMANAGARA,1466,50,147,1251,797,382,2430,3.41
27,SHIVAMOGGA,2257,101,319,2599,1756,765,5120,4.47
28,TUMAKURU,2429,74,135,1106,1075,562,2743,3.05
29,TUMAKURU MADHUGIRI,1477,59,135,1152,625,434,2211,3.99
30,UDUPI,967,19,55,464,290,242,996,1.96
31,UTTARA KANNADA,1102,43,99,512,539,631,1682,3.9
32,UTTARA KANNADA SIRSI,1278,39,68,367,199,63,629,3.05
33,VIJAYAPURA,2317,52,212,2783,1761,1015,5559,2.24
34,YADAGIRI,1096,15,64,775,507,452,1734,1.37
