S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1621,7932,112442,64527,36061,213030,95.86
2,BALLARI,1668,1546,7707,118832,64486,32608,215926,92.69
3,BELAGAVI,1780,1689,8160,111723,65442,37463,214628,94.89
4,BELAGAVI CHIKKODI,2253,2125,9252,155829,91043,53211,300083,94.32
5,BENGALURU RURAL,1217,1217,3521,31075,20822,12955,64852,100
6,BENGALURU U NORTH,844,739,4259,45115,28238,16955,90308,87.56
7,BENGALURU U SOUTH,1347,988,4078,61257,38161,20372,119790,73.35
8,BIDAR,1769,1230,6605,61406,37831,20256,119493,69.53
9,CHAMARAJANAGARA,934,712,2379,29716,18647,11777,60140,76.23
10,CHIKKABALLAPURA,1664,1524,4344,43823,26516,18056,88395,91.59
11,CHIKKAMAGALURU,1635,1503,4676,37187,22506,15756,75449,91.93
12,CHITRADURGA,2039,1967,6906,81417,46517,28893,156827,96.47
13,DAKSHINA KANNADA,1421,1394,5816,64873,46778,32933,144584,98.1
14,DAVANAGERE,1846,1732,7632,85010,50435,30568,166013,93.82
15,DHARWAD,1076,1023,6905,78071,46399,28812,153282,95.07
16,GADAG,887,743,4013,53122,28695,15413,97230,83.77
17,HASSAN,2720,2239,6641,47583,31254,23283,102120,82.32
18,HAVERI,1519,1350,6970,84219,49788,27351,161358,88.87
19,KALABURGI,2179,1128,5051,72069,34955,13437,120461,51.77
20,KODAGU,499,405,1645,12272,8749,7005,28026,81.16
21,KOLAR,2038,1939,5593,51226,32540,19762,103528,95.14
22,KOPPAL,1151,928,4282,78936,40666,20836,140438,80.63
23,MANDYA,2007,1790,5833,49861,32752,24367,106980,89.19
24,MYSURU,2399,1993,7127,86060,55188,34037,175285,83.08
25,RAICHUR,1727,1543,5804,103383,46565,23752,173700,89.35
26,RAMANAGARA,1466,1243,3375,31503,19411,11860,62774,84.79
27,SHIVAMOGGA,2257,2119,7048,66848,40571,26350,133769,93.89
28,TUMAKURU,2429,2239,6529,56811,38089,25730,120630,92.18
29,TUMAKURU MADHUGIRI,1477,1338,3912,41286,23267,15667,80220,90.59
30,UDUPI,967,948,3586,35857,24913,16598,77368,98.04
31,UTTARA KANNADA,1102,1071,3493,26497,17440,11928,55865,97.19
32,UTTARA KANNADA SIRSI,1278,1125,4022,38349,21579,11904,71832,88.03
33,VIJAYAPURA,2317,1473,7690,86526,45600,24358,156484,63.57
34,YADAGIRI,1096,779,2737,58965,24625,9782,93372,71.08
