S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,41,107,479,396,706,1581,2.42
2,BALLARI,1668,48,166,1459,888,1264,3611,2.88
3,BELAGAVI,1780,26,108,1331,998,517,2846,1.46
4,BELAGAVI CHIKKODI,2253,76,179,3264,1738,861,5863,3.37
5,BENGALURU RURAL,1217,39,81,550,528,424,1502,3.2
6,BENGALURU U NORTH,844,21,126,916,805,1021,2742,2.49
7,BENGALURU U SOUTH,1347,42,124,1294,979,1057,3330,3.12
8,BIDAR,1769,31,163,2688,1590,805,5083,1.75
9,CHAMARAJANAGARA,934,18,34,862,392,61,1315,1.93
10,CHIKKABALLAPURA,1664,161,200,971,773,1552,3296,9.68
11,CHIKKAMAGALURU,1635,58,172,1096,658,465,2219,3.55
12,CHITRADURGA,2039,64,241,2001,2134,1770,5905,3.14
13,DAKSHINA KANNADA,1421,37,103,977,619,457,2053,2.6
14,DAVANAGERE,1846,66,263,2807,1576,895,5278,3.58
15,DHARWAD,1076,24,123,1839,856,202,2897,2.23
16,GADAG,887,10,41,805,293,115,1213,1.13
17,HASSAN,2720,79,252,1022,1254,1351,3627,2.9
18,HAVERI,1519,34,126,1545,674,656,2875,2.24
19,KALABURGI,2179,18,64,264,202,498,964,0.83
20,KODAGU,499,12,18,78,70,47,195,2.4
21,KOLAR,2038,61,179,1365,1197,824,3386,2.99
22,KOPPAL,1151,22,91,1434,642,708,2784,1.91
23,MANDYA,2007,70,176,1232,1088,920,3240,3.49
24,MYSURU,2399,105,266,2259,1862,2179,6300,4.38
25,RAICHUR,1727,31,104,2247,869,0,3116,1.8
26,RAMANAGARA,1466,56,148,1179,792,455,2426,3.82
27,SHIVAMOGGA,2257,92,267,1489,1216,1421,4126,4.08
28,TUMAKURU,2429,72,189,1588,1129,917,3634,2.96
29,TUMAKURU MADHUGIRI,1477,58,148,1422,794,425,2641,3.93
30,UDUPI,967,31,150,1105,1235,1105,3445,3.21
31,UTTARA KANNADA,1102,48,102,749,462,338,1549,4.36
32,UTTARA KANNADA SIRSI,1278,44,116,932,288,92,1312,3.44
33,VIJAYAPURA,2317,36,117,1521,646,510,2677,1.55
34,YADAGIRI,1096,12,50,1034,447,268,1749,1.09
