S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1567,7673,108432,63272,35696,207400,92.67
2,BALLARI,1668,1474,7306,110284,59271,29110,198665,88.37
3,BELAGAVI,1780,1613,7885,102742,60280,35033,198055,90.62
4,BELAGAVI CHIKKODI,2253,2096,9416,154877,90035,51459,296371,93.03
5,BENGALURU RURAL,1217,1192,3466,31044,20249,12483,63776,97.95
6,BENGALURU U NORTH,844,722,3522,42054,28385,16840,87279,85.55
7,BENGALURU U SOUTH,1347,782,3415,45266,28854,15449,89569,58.05
8,BIDAR,1769,1112,5542,56323,34472,19667,110462,62.86
9,CHAMARAJANAGARA,934,613,2062,24947,15689,9833,50469,65.63
10,CHIKKABALLAPURA,1664,1416,3899,39274,24089,14171,77534,85.1
11,CHIKKAMAGALURU,1635,1450,4745,36490,22007,15495,73992,88.69
12,CHITRADURGA,2039,1952,7003,79887,45798,28913,154598,95.73
13,DAKSHINA KANNADA,1421,1381,5964,63285,45772,32509,141566,97.19
14,DAVANAGERE,1846,1725,7637,83577,50412,30937,164926,93.45
15,DHARWAD,1076,977,5864,74835,44536,26716,146087,90.8
16,GADAG,887,681,3750,49681,26837,14856,91374,76.78
17,HASSAN,2720,2136,6220,45194,28370,21185,94749,78.53
18,HAVERI,1519,1273,6263,78234,45464,25233,148931,83.81
19,KALABURGI,2179,1005,5075,63149,31749,11647,106545,46.12
20,KODAGU,499,338,1251,9528,6710,5520,21758,67.74
21,KOLAR,2038,1858,5724,48986,31344,19302,99632,91.17
22,KOPPAL,1151,893,4389,77580,40821,21332,139733,77.58
23,MANDYA,2007,1753,5473,48695,31661,23506,103862,87.34
24,MYSURU,2399,1866,6979,81744,51665,32813,166222,77.78
25,RAICHUR,1727,1422,6402,101912,46415,21369,169696,82.34
26,RAMANAGARA,1466,1146,3235,28039,18087,10936,57062,78.17
27,SHIVAMOGGA,2257,2025,6920,65745,40220,26170,132135,89.72
28,TUMAKURU,2429,2101,6180,52086,34766,23708,110560,86.5
29,TUMAKURU MADHUGIRI,1477,1301,3858,38736,22817,14089,75642,88.08
30,UDUPI,967,941,3508,35505,24730,16487,76722,97.31
31,UTTARA KANNADA,1102,1051,3523,25406,16682,11670,53758,95.37
32,UTTARA KANNADA SIRSI,1278,1054,3202,36299,20538,10608,67445,82.47
33,VIJAYAPURA,2317,1284,6717,79443,41234,20845,141522,55.42
34,YADAGIRI,1096,693,2519,54312,23509,8423,86244,63.23
