S.no,District_name,Eligible.schools,Correct.SMS,No.of.Teachers.Attended,No.of.Students.Class.1.5,No.of.Students.Class.6.8,No.of.Students.Class.8.10,Total.No.of.Students.Beneficiaries,Percentage.Schools.Reported
1,BAGALKOT,1691,1603,7249,109617,63127,36149,208893,94.8
2,BALLARI,1668,1448,6527,105369,56065,29307,190741,86.81
3,BELAGAVI,1780,1400,6835,86366,52587,30317,169270,78.65
4,BELAGAVI CHIKKODI,2253,2058,8815,149945,85317,47783,283045,91.34
5,BENGALURU RURAL,1217,1202,3148,31181,20576,12511,64268,98.77
6,BENGALURU U NORTH,844,626,2662,32971,23362,15500,71833,74.17
7,BENGALURU U SOUTH,1347,954,3604,55330,33336,18404,107070,70.82
8,BIDAR,1769,1074,4553,52361,31452,17249,101062,60.71
9,CHAMARAJANAGARA,934,610,1725,24943,16235,10273,51451,65.31
10,CHIKKABALLAPURA,1664,1392,3481,39121,23205,13673,75999,83.65
11,CHIKKAMAGALURU,1635,1440,4039,36003,21077,14726,71806,88.07
12,CHITRADURGA,2039,1963,6145,80139,46369,29075,155583,96.27
13,DAKSHINA KANNADA,1421,1359,4860,60342,43449,30882,134673,95.64
14,DAVANAGERE,1846,1676,6419,79256,46687,28848,154791,90.79
15,DHARWAD,1076,922,5261,68374,41060,25437,134871,85.69
16,GADAG,887,669,4012,49117,26054,13971,89142,75.42
17,HASSAN,2720,2132,5225,45876,28787,20637,95300,78.38
18,HAVERI,1519,1279,5933,77162,46097,25003,148262,84.2
19,KALABURGI,2179,926,3621,59208,28884,10181,98273,42.5
20,KODAGU,499,50,21,94,87,125,306,10.02
21,KOLAR,2038,1758,4754,45490,29564,17895,92949,86.26
22,KOPPAL,1151,886,4092,77088,40732,19978,137798,76.98
23,MANDYA,2007,1721,4440,47916,31340,23722,102978,85.75
24,MYSURU,2399,1797,5528,74643,46327,29519,150489,74.91
25,RAICHUR,1727,1429,5204,99708,44349,21254,165311,82.74
26,RAMANAGARA,1466,1144,2862,28138,18050,10911,57099,78.04
27,SHIVAMOGGA,2257,2011,6167,64078,38144,25969,128191,89.1
28,TUMAKURU,2429,2056,5211,50310,33652,22440,106402,84.64
29,TUMAKURU MADHUGIRI,1477,1244,3215,35801,20904,13430,70135,84.22
30,UDUPI,967,857,2905,31690,22343,15330,69363,88.62
31,UTTARA KANNADA,1102,838,2218,16208,11599,8878,36685,76.04
32,UTTARA KANNADA SIRSI,1278,1020,2759,32112,18362,10018,60492,79.81
33,VIJAYAPURA,2317,1188,5658,71049,36800,19669,127518,51.27
34,YADAGIRI,1096,664,2202,50872,20711,7951,79534,60.58
